time 	 RH 	 LH 
7701	 7701	 7701 
000.073	50.0000	50.0000	
000.130	50.0000	50.0000	
000.195	50.0000	50.0000	
000.255	50.0000	50.0000	
000.323	50.0000	50.0000	
000.378	50.0000	50.0000	
000.439	50.0000	50.0000	
000.503	50.0000	50.0000	
000.567	50.0000	50.0000	
000.627	50.0000	50.0000	
000.691	50.0000	50.0000	
000.755	50.0000	50.0000	
000.818	50.0000	50.0000	
000.876	49.6319	50.3681	
000.938	49.3903	50.6097	
001.003	49.1303	50.8697	
001.066	49.1303	50.8697	
001.126	49.1303	50.8697	
001.190	49.1303	50.8697	
001.255	49.1303	50.8697	
001.319	49.1303	50.8697	
001.374	49.1303	50.8697	
001.438	49.1303	50.8697	
001.503	49.1303	50.8697	
001.566	49.1303	50.8697	
001.626	49.1303	50.8697	
001.691	49.1303	50.8697	
001.754	49.1303	50.8697	
001.818	49.1303	50.8697	
001.874	49.5363	50.4637	
001.939	49.8171	50.1829	
002.003	50.0762	49.9238	
002.066	50.3361	49.6639	
002.128	50.6685	49.3315	
002.190	50.6685	49.3315	
002.255	50.6685	49.3315	
002.318	50.6685	49.3315	
002.383	50.6685	49.3315	
002.438	50.6685	49.3315	
002.503	51.0199	48.9801	
002.566	51.3662	48.6338	
002.628	51.7637	48.2363	
002.690	52.1197	47.8803	
002.754	52.3442	47.6558	
002.818	52.5947	47.4053	
002.874	52.8740	47.1260	
002.938	53.2817	46.7183	
003.002	53.6485	46.3515	
003.066	53.8849	46.1151	
003.126	54.1377	45.8623	
003.190	54.5111	45.4889	
003.254	54.8861	45.1139	
003.318	55.3947	44.6053	
003.374	55.9252	44.0748	
003.438	56.4094	43.5906	
003.503	56.7867	43.2133	
003.566	57.1294	42.8706	
003.626	57.3602	42.6398	
003.690	57.6527	42.3473	
003.754	58.0498	41.9502	
7702	 7702	 7702 
7691	 7691	 7691 
000.036	50.0000	50.0000	
000.095	50.0000	50.0000	
000.159	50.0000	50.0000	
000.223	50.0000	50.0000	
000.287	50.3469	49.6531	
