time 	 RH 	 LH 
7691	 7691	 7691 
000.018	50.0000	50.0000	
000.078	50.0000	50.0000	
000.142	50.0000	50.0000	
000.203	50.0000	50.0000	
000.263	50.0000	50.0000	
000.326	50.0000	50.0000	
000.388	50.2604	49.7396	
000.451	50.4986	49.5014	
000.511	50.8052	49.1948	
000.575	51.0570	48.9430	
000.638	51.0570	48.9430	
000.703	51.0570	48.9430	
000.759	51.0570	48.9430	
000.823	51.0570	48.9430	
000.887	51.0570	48.9430	
000.952	51.2900	48.7100	
001.010	51.2900	48.7100	
001.074	51.5016	48.4984	
001.138	51.9460	48.0540	
001.202	52.3082	47.6918	
001.258	52.5791	47.4209	
001.323	52.8541	47.1459	
001.386	53.0269	46.9731	
001.451	53.1925	46.8075	
001.511	53.3382	46.6618	
001.574	53.4641	46.5359	
001.639	53.6959	46.3041	
001.702	53.8660	46.1340	
001.759	54.1174	45.8826	
001.822	54.3688	45.6312	
001.887	54.4227	45.5773	
001.951	54.4674	45.5326	
002.010	54.5170	45.4830	
002.074	54.5583	45.4417	
002.138	54.5583	45.4417	
002.202	54.5583	45.4417	
002.258	54.0069	45.9931	
002.331	53.4436	46.5564	
002.386	52.9722	47.0278	
002.450	52.9722	47.0278	
002.511	52.9722	47.0278	
002.574	52.9722	47.0278	
002.638	52.9722	47.0278	
002.702	52.9722	47.0278	
002.759	52.9722	47.0278	
002.822	53.1143	46.8857	
002.887	53.3546	46.6454	
002.950	53.5606	46.4394	
003.011	53.7233	46.2766	
003.074	53.8483	46.1517	
003.138	54.0231	45.9769	
003.202	54.1858	45.8142	
003.258	54.4992	45.5008	
003.323	54.8494	45.1506	
003.387	55.2080	44.7920	
003.451	55.5121	44.4879	
003.511	55.5873	44.4127	
003.575	55.5873	44.4127	
003.638	55.6231	44.3769	
003.702	55.6231	44.3769	
003.759	55.6203	44.3797	
003.822	55.6203	44.3797	
003.886	55.6203	44.3797	
003.951	55.6203	44.3797	
004.010	55.6203	44.3797	
004.074	55.6203	44.3797	
004.138	55.6203	44.3797	
004.202	55.6203	44.3797	
004.258	55.6203	44.3797	
004.322	55.6203	44.3797	
004.386	55.6203	44.3797	
004.450	55.6203	44.3797	
004.511	55.6203	44.3797	
004.574	55.6203	44.3797	
004.638	55.6203	44.3797	
004.702	55.6203	44.3797	
004.758	55.6203	44.3797	
004.822	55.6203	44.3797	
004.886	55.6203	44.3797	
004.951	55.6203	44.3797	
005.010	55.6203	44.3797	
005.074	55.6203	44.3797	
005.138	55.6203	44.3797	
005.202	55.6203	44.3797	
005.258	55.6203	44.3797	
005.322	55.6203	44.3797	
005.386	55.6203	44.3797	
005.451	55.6203	44.3797	
005.511	55.6203	44.3797	
005.575	55.6203	44.3797	
005.639	55.6203	44.3797	
005.702	55.6299	44.3701	
005.758	55.6717	44.3283	
005.826	55.6920	44.3080	
005.886	55.6920	44.3080	
005.951	55.7107	44.2893	
006.010	55.7615	44.2385	
006.074	55.7811	44.2189	
006.138	55.8666	44.1334	
006.202	55.9250	44.0750	
006.258	55.8935	44.1065	
006.326	55.9563	44.0437	
006.386	55.9623	44.0377	
006.451	55.9170	44.0830	
006.512	55.9170	44.0830	
006.574	55.9170	44.0830	
006.638	55.9170	44.0830	
006.702	55.9170	44.0830	
006.758	55.9170	44.0830	
006.826	55.9170	44.0830	
006.886	55.9170	44.0830	
006.950	55.3672	44.6328	
007.010	55.3672	44.6328	
7692	 7692	 7692 
7691	 7691	 7691 
000.032	50.3566	49.6434	
000.090	50.6615	49.3385	
000.154	50.6615	49.3385	
000.215	50.6615	49.3385	
