time 	 RH 	 LH 
7701	 7701	 7701 
000.071	50.0000	50.0000	
000.127	50.0000	50.0000	
000.196	50.0000	50.0000	
000.249	50.0000	50.0000	
000.317	50.0000	50.0000	
000.380	50.0000	50.0000	
000.440	50.0000	50.0000	
000.500	50.0000	50.0000	
000.565	50.3513	49.6487	
000.624	50.8678	49.1322	
000.692	52.0298	47.9702	
000.748	53.2580	46.7420	
000.812	54.7276	45.2723	
000.876	56.5005	43.4995	
000.940	58.1419	41.8581	
001.000	59.8661	40.1339	
001.064	61.4432	38.5568	
001.124	62.9141	37.0859	
001.192	64.2795	35.7205	
001.248	65.5554	34.4446	
001.312	66.6073	33.3927	
001.376	67.4805	32.5195	
001.440	68.2856	31.7144	
001.500	69.0830	30.9170	
001.564	69.6265	30.3735	
001.624	70.2108	29.7892	
7702	 7702	 7702 
7691	 7691	 7691 
000.021	49.4089	50.5911	
000.084	48.8727	51.1273	
000.144	48.2147	51.7853	
000.208	47.4023	52.5977	
000.268	46.2850	53.7150	
000.336	45.2804	54.7195	
000.392	44.1176	55.8824	
000.456	43.2523	56.7477	
000.520	42.0600	57.9400	
000.584	40.9077	59.0923	
000.653	39.6490	60.3510	
000.708	38.6749	61.3251	
000.768	37.8670	62.1330	
000.836	37.1187	62.8813	
000.892	36.3357	63.6643	
000.956	35.4739	64.5261	
001.020	34.7396	65.2604	
001.084	34.0074	65.9926	
001.144	33.3463	66.6537	
001.208	33.1658	66.8342	
001.268	33.5480	66.4520	
001.336	33.9517	66.0483	
001.393	33.9517	66.0483	
001.456	34.4751	65.5249	
001.520	34.4751	65.5249	
001.584	34.5969	65.4031	
001.644	34.9721	65.0279	
001.708	34.8339	65.1661	
001.768	34.3718	65.6282	
001.836	33.7085	66.2915	
001.892	33.0005	66.9995	
001.956	32.2542	67.7458	
002.020	31.5722	68.4278	
002.084	30.8332	69.1668	
002.144	30.0995	69.9005	
002.208	29.2728	70.7272	
7692	 7692	 7692 
7691	 7691	 7691 
000.020	49.4930	50.5070	
000.080	49.1146	50.8854	
000.144	48.8955	51.1045	
000.208	48.8955	51.1045	
000.272	48.8955	51.1045	
000.328	48.8955	51.1045	
000.392	48.8955	51.1045	
000.456	48.8955	51.1045	
000.520	48.8955	51.1045	
000.580	48.8955	51.1045	
000.644	48.8955	51.1045	
000.708	49.4354	50.5646	
000.772	50.3081	49.6919	
000.828	51.4065	48.5935	
000.892	52.2990	47.7010	
000.956	53.1785	46.8215	
001.020	54.1769	45.8231	
001.080	55.2034	44.7966	
001.144	56.2321	43.7679	
001.208	56.9200	43.0800	
001.272	57.4746	42.5254	
001.328	58.3107	41.6893	
001.392	59.2811	40.7189	
001.456	60.3823	39.6177	
001.520	61.5903	38.4097	
001.580	62.8175	37.1825	
001.644	63.9820	36.0180	
001.708	65.0988	34.9012	
001.772	66.1362	33.8638	
001.828	66.9213	33.0787	
001.892	67.8607	32.1393	
001.956	68.8407	31.1593	
002.020	69.7296	30.2704	
002.080	70.4608	29.5392	
7693	 7693	 7693 
7691	 7691	 7691 
000.062	50.8155	49.1845	
000.125	51.4412	48.5588	
000.182	51.9209	48.0791	
000.250	51.9209	48.0791	
000.310	52.1085	47.8915	
000.374	52.4344	47.5656	
000.434	52.5792	47.4208	
000.498	52.9672	47.0328	
000.562	53.4450	46.5550	
000.626	53.9048	46.0952	
000.682	54.0015	45.9985	
000.750	54.2864	45.7136	
000.809	54.7287	45.2713	
000.873	55.0964	44.9036	
000.933	55.6421	44.3580	
000.997	56.2704	43.7296	
001.061	56.9519	43.0481	
001.125	57.4583	42.5417	
001.182	57.8028	42.1972	
001.250	58.2990	41.7010	
001.310	58.9508	41.0492	
001.374	59.7310	40.2690	
001.434	60.6252	39.3748	
001.498	61.3416	38.6584	
001.562	61.9982	38.0019	
001.626	62.4768	37.5232	
001.682	62.9966	37.0034	
001.750	63.8251	36.1749	
001.810	64.5843	35.4157	
001.874	65.3649	34.6351	
001.934	66.0607	33.9393	
001.997	66.6247	33.3753	
002.062	67.0924	32.9076	
002.126	67.5102	32.4898	
002.182	68.1886	31.8114	
002.250	68.5379	31.4621	
002.310	68.5758	31.4242	
002.374	68.5280	31.4720	
002.434	68.2271	31.7729	
002.497	67.9111	32.0889	
002.562	67.4874	32.5126	
002.626	67.3966	32.6034	
002.682	67.6107	32.3893	
002.750	67.6868	32.3132	
002.810	67.6468	32.3532	
002.874	67.6035	32.3966	
002.934	67.5501	32.4499	
002.998	67.6508	32.3492	
003.062	67.5742	32.4258	
003.126	67.2821	32.7179	
003.182	66.7660	33.2341	
003.250	66.8418	33.1582	
003.310	66.8289	33.1711	
003.374	66.8029	33.1971	
003.433	67.0582	32.9418	
003.498	67.3277	32.6723	
003.562	67.5306	32.4694	
003.626	67.6636	32.3364	
003.682	67.8734	32.1266	
003.750	67.9589	32.0411	
003.810	68.0539	31.9461	
003.874	68.0003	31.9997	
003.934	67.6082	32.3918	
003.998	67.6082	32.3918	
004.062	67.6082	32.3918	
004.126	67.2834	32.7166	
004.183	67.1225	32.8775	
004.250	66.7072	33.2928	
004.310	66.4526	33.5474	
004.374	66.3864	33.6136	
004.433	66.2537	33.7463	
004.498	66.0804	33.9196	
004.562	65.8926	34.1074	
004.626	65.5566	34.4434	
004.682	65.0479	34.9521	
004.750	64.6351	35.3649	
004.810	64.4066	35.5934	
004.874	64.2356	35.7644	
004.934	64.0785	35.9215	
004.998	63.9700	36.0300	
005.062	63.7376	36.2624	
005.126	63.7376	36.2624	
005.182	62.6810	37.3190	
005.250	62.6810	37.3190	
005.310	62.3163	37.6837	
005.374	62.3163	37.6837	
005.434	62.3163	37.6837	
005.498	62.3163	37.6837	
005.562	62.1305	37.8695	
005.626	62.1592	37.8408	
005.682	62.1816	37.8184	
005.750	62.2141	37.7859	
005.810	62.3578	37.6422	
005.874	62.1636	37.8364	
005.934	62.1453	37.8547	
005.998	62.3278	37.6722	
006.062	62.5994	37.4006	
006.126	62.6692	37.3308	
006.183	62.5686	37.4314	
006.250	62.3689	37.6311	
006.310	62.3549	37.6451	
006.374	62.4905	37.5095	
006.434	62.7443	37.2557	
006.498	63.0103	36.9897	
006.562	62.8641	37.1359	
006.626	62.8641	37.1359	
006.682	62.8641	37.1359	
006.750	62.8641	37.1359	
006.810	61.6029	38.3971	
006.874	60.5104	39.4896	
006.934	59.0828	40.9172	
006.998	57.2505	42.7495	
7692	 7692	 7692 
7701	 7701	 7701 
000.043	47.7858	52.2142	
000.102	45.6612	54.3388	
000.166	43.6177	56.3823	
000.230	41.6857	58.3143	
000.294	39.9048	60.0952	
000.355	38.3515	61.6485	
000.419	36.8136	63.1864	
000.479	35.3551	64.6449	
000.543	33.9631	66.0369	
000.603	32.6646	67.3354	
000.667	31.3912	68.6088	
000.731	30.2912	69.7088	
000.795	29.1581	70.8419	
7703	 7703	 7703 
