time 	 RH 	 LH 
7691	 7691	 7691 
000.042	50.0000	50.0000	
000.104	50.0000	50.0000	
000.169	50.0000	50.0000	
000.221	50.0000	50.0000	
000.290	50.0000	50.0000	
000.352	50.0000	50.0000	
000.413	50.0000	50.0000	
000.474	50.5632	49.4368	
000.537	51.1396	48.8604	
000.601	51.7581	48.2419	
000.665	52.3791	47.6208	
000.721	53.0888	46.9112	
000.785	53.8383	46.1617	
000.849	54.6288	45.3712	
000.913	55.3958	44.6042	
000.973	56.2076	43.7924	
001.036	56.7790	43.2210	
001.101	57.4692	42.5308	
001.165	58.0428	41.9572	
001.221	58.6057	41.3943	
001.285	59.2563	40.7437	
001.349	59.8013	40.1987	
001.413	59.9763	40.0237	
001.473	59.9763	40.0237	
001.536	59.9763	40.0237	
001.601	59.0177	40.9823	
001.665	58.2518	41.7482	
001.720	58.2518	41.7482	
001.785	58.3908	41.6091	
001.848	58.4924	41.5076	
001.914	58.7795	41.2205	
001.973	59.1621	40.8379	
002.037	59.6913	40.3087	
002.101	60.3060	39.6940	
7693	 7693	 7693 
7701	 7701	 7701 
000.044	49.6330	50.3670	
000.103	50.0305	49.9695	
000.176	50.5718	49.4282	
000.231	51.1284	48.8716	
000.295	51.4866	48.5134	
000.351	51.8201	48.1799	
000.419	52.5124	47.4876	
000.480	53.1954	46.8046	
000.544	54.1471	45.8529	
000.604	55.1149	44.8851	
000.668	56.3482	43.6518	
000.731	57.9637	42.0363	
000.796	59.4950	40.5050	
000.851	61.1658	38.8342	
7702	 7702	 7702 
7701	 7701	 7701 
000.065	51.9608	48.0392	
000.125	53.8107	46.1893	
000.189	55.3888	44.6112	
000.249	56.8298	43.1702	
000.313	58.0497	41.9503	
000.377	59.0341	40.9659	
000.441	59.7934	40.2066	
000.497	60.4317	39.5683	
7702	 7702	 7702 
7701	 7701	 7701 
000.009	49.0083	50.9917	
000.074	48.3265	51.6735	
000.133	48.0468	51.9532	
000.198	48.0468	51.9532	
000.262	48.7416	51.2584	
000.326	49.4896	50.5104	
000.386	49.4896	50.5104	
000.450	49.4896	50.5104	
000.509	49.0797	50.9203	
000.574	48.4772	51.5228	
000.634	47.9384	52.0616	
000.697	47.5396	52.4604	
000.761	47.5396	52.4604	
000.826	47.9535	52.0465	
000.886	47.9535	52.0465	
000.950	47.9535	52.0465	
001.010	47.9535	52.0465	
001.074	47.6775	52.3225	
001.134	47.1706	52.8294	
001.198	46.5125	53.4875	
001.262	45.6772	54.3228	
001.326	45.1604	54.8396	
001.386	45.1604	54.8396	
001.450	45.1604	54.8396	
001.510	45.7092	54.2908	
001.574	46.2681	53.7319	
001.634	46.2681	53.7319	
001.697	46.2681	53.7319	
001.762	46.2681	53.7319	
001.826	46.7057	53.2943	
001.886	47.1778	52.8222	
001.950	47.7428	52.2572	
002.010	48.4335	51.5665	
002.074	49.4662	50.5338	
002.134	50.7363	49.2637	
002.198	52.1114	47.8886	
002.261	53.2819	46.7181	
002.325	54.3025	45.6975	
002.385	55.2494	44.7506	
002.450	56.4254	43.5746	
002.510	57.4681	42.5319	
002.573	58.4949	41.5051	
002.634	59.7370	40.2630	
002.697	60.9565	39.0435	
7702	 7702	 7702 
7701	 7701	 7701 
003.096	60.9565	39.0435	
7702	 7702	 7702 
