time 	 RH 	 LH 
7691	 7691	 7691 
000.054	49.4748	50.5252	
000.108	48.9763	51.0237	
000.171	48.5467	51.4533	
000.234	48.2949	51.7051	
000.305	48.1144	51.8856	
000.354	48.1144	51.8856	
000.422	48.1144	51.8856	
000.481	48.1144	51.8856	
000.547	48.1144	51.8856	
000.605	48.1144	51.8856	
000.669	48.1144	51.8856	
000.733	48.1144	51.8856	
000.797	48.4992	51.5008	
000.853	48.8912	51.1088	
000.922	49.2557	50.7443	
000.982	49.2557	50.7443	
001.046	49.7036	50.2964	
001.105	50.0790	49.9210	
001.169	50.4959	49.5041	
001.233	50.8163	49.1837	
001.297	51.1069	48.8931	
001.353	51.3529	48.6471	
001.421	51.5859	48.4141	
001.481	51.8610	48.1390	
001.545	52.1736	47.8264	
001.605	52.3870	47.6130	
001.670	52.3870	47.6130	
001.733	52.3870	47.6130	
001.797	52.3870	47.6130	
001.853	52.3870	47.6130	
001.922	52.3870	47.6130	
001.981	52.3870	47.6130	
002.045	52.3870	47.6130	
002.105	52.3870	47.6130	
002.169	52.3870	47.6130	
002.233	52.3870	47.6130	
002.297	52.3870	47.6130	
002.362	52.3870	47.6130	
002.421	52.3870	47.6130	
002.481	52.3870	47.6130	
002.545	52.3870	47.6130	
002.606	52.3870	47.6130	
002.669	52.3870	47.6130	
002.733	52.5563	47.4437	
002.797	52.7965	47.2035	
002.853	53.0545	46.9455	
002.922	53.3046	46.6954	
002.982	53.4375	46.5625	
003.045	53.4375	46.5625	
003.105	53.4375	46.5625	
003.169	53.4375	46.5625	
003.233	53.4375	46.5625	
003.297	53.4375	46.5625	
003.353	53.4375	46.5625	
003.421	53.4375	46.5625	
003.481	53.4375	46.5625	
003.545	53.4375	46.5625	
003.606	53.4375	46.5625	
003.669	53.4375	46.5625	
003.733	53.4375	46.5625	
003.797	52.8767	47.1233	
003.853	52.3104	47.6896	
003.922	51.8570	48.1430	
003.981	51.4216	48.5784	
004.045	51.4216	48.5784	
004.105	51.4216	48.5784	
004.169	51.4216	48.5784	
004.233	51.4216	48.5784	
004.297	51.4216	48.5784	
004.353	51.4216	48.5784	
004.421	51.4216	48.5784	
004.481	51.4216	48.5784	
004.546	51.4216	48.5784	
004.605	51.4216	48.5784	
004.669	51.4216	48.5784	
004.734	51.4216	48.5784	
004.797	51.4216	48.5784	
004.857	51.4216	48.5784	
004.922	51.4216	48.5784	
004.982	51.4216	48.5784	
005.045	51.4216	48.5784	
005.105	51.4216	48.5784	
005.169	51.4216	48.5784	
005.233	51.4216	48.5784	
005.297	51.4216	48.5784	
005.357	51.4216	48.5784	
005.421	51.4216	48.5784	
005.481	51.4216	48.5784	
005.545	51.4216	48.5784	
005.605	51.4216	48.5784	
005.670	51.4216	48.5784	
005.733	51.4216	48.5784	
005.797	51.4216	48.5784	
005.857	51.0696	48.9304	
005.922	50.6475	49.3525	
005.982	50.2463	49.7537	
006.045	49.8548	50.1452	
006.105	49.5352	50.4648	
006.169	49.2567	50.7433	
006.233	48.9415	51.0585	
006.297	48.6196	51.3804	
006.358	48.6196	51.3804	
006.421	48.3364	51.6636	
006.481	48.0012	51.9988	
006.545	47.7458	52.2542	
006.605	47.5440	52.4559	
006.669	47.3743	52.6257	
006.733	47.1384	52.8616	
006.797	46.9411	53.0589	
006.857	46.7761	53.2239	
006.922	46.6810	53.3190	
006.981	46.6810	53.3190	
007.045	46.6810	53.3190	
7692	 7692	 7692 
7701	 7701	 7701 
000.030	49.6308	50.3692	
000.093	49.6308	50.3692	
000.156	49.3793	50.6207	
000.217	49.1083	50.8917	
000.281	48.8886	51.1114	
000.341	48.8886	51.1114	
000.404	48.8886	51.1114	
000.464	48.8886	51.1114	
000.528	48.8886	51.1114	
000.593	48.8886	51.1114	
000.657	48.8886	51.1114	
000.717	48.8886	51.1114	
000.780	48.8886	51.1114	
000.841	48.8886	51.1114	
000.904	49.2314	50.7686	
000.964	49.6707	50.3293	
001.029	50.1569	49.8431	
001.092	50.5362	49.4638	
001.157	50.9127	49.0873	
001.216	51.2331	48.7669	
001.282	51.6004	48.3996	
001.341	51.9843	48.0157	
001.405	52.4064	47.5936	
001.464	52.8862	47.1138	
001.528	53.4092	46.5908	
001.592	53.9438	46.0562	
001.656	54.4888	45.5112	
001.716	55.0334	44.9666	
001.780	55.5090	44.4910	
001.840	55.9305	44.0695	
001.905	56.3293	43.6707	
001.965	56.7626	43.2374	
002.029	57.1971	42.8029	
002.094	57.5761	42.4239	
002.157	57.8662	42.1338	
002.216	58.1733	41.8267	
7702	 7702	 7702 
7701	 7701	 7701 
000.027	49.6595	50.3405	
000.088	49.3409	50.6591	
000.156	49.3409	50.6591	
000.212	49.3409	50.6591	
000.276	49.3409	50.6591	
000.340	49.3409	50.6591	
000.404	49.3409	50.6591	
000.464	49.3409	50.6591	
000.528	49.3409	50.6591	
000.588	49.6619	50.3381	
000.655	50.0576	49.9424	
000.711	50.6101	49.3899	
000.776	51.1101	48.8899	
000.840	51.5345	48.4655	
000.904	51.8813	48.1187	
000.963	52.0880	47.9120	
001.028	52.2717	47.7283	
001.087	52.2717	47.7283	
001.155	52.2717	47.7283	
001.211	52.2717	47.7283	
001.276	52.2717	47.7283	
001.339	52.2717	47.7283	
001.403	52.2717	47.7283	
001.464	52.2717	47.7283	
001.528	52.2717	47.7283	
001.588	52.2717	47.7283	
001.656	52.2717	47.7283	
001.712	52.2717	47.7283	
001.775	52.2717	47.7283	
001.840	52.2717	47.7283	
