time 	 RH 	 LH 
7691	 7691	 7691 
000.049	50.0000	50.0000	
000.109	50.0000	50.0000	
000.170	50.0000	50.0000	
000.230	50.0000	50.0000	
000.295	50.0000	50.0000	
000.357	50.0000	50.0000	
000.414	50.0000	50.0000	
000.479	50.0000	50.0000	
000.542	50.0000	50.0000	
000.606	50.0000	50.0000	
000.666	50.0000	50.0000	
000.730	50.0000	50.0000	
000.790	50.0000	50.0000	
000.854	50.0000	50.0000	
000.915	50.0000	50.0000	
000.978	50.0000	50.0000	
001.042	50.0000	50.0000	
001.106	50.0000	50.0000	
001.166	50.0000	50.0000	
001.230	50.0000	50.0000	
001.290	50.0000	50.0000	
001.354	50.0000	50.0000	
001.414	50.0000	50.0000	
001.479	50.0000	50.0000	
001.542	50.0000	50.0000	
001.606	50.0000	50.0000	
001.666	50.0000	50.0000	
001.730	50.0000	50.0000	
001.790	50.0000	50.0000	
001.854	50.0000	50.0000	
001.913	50.0000	50.0000	
001.979	49.7437	50.2563	
002.042	49.4312	50.5688	
002.106	49.0379	50.9621	
002.166	48.7319	51.2681	
002.230	48.4969	51.5031	
002.290	48.2656	51.7344	
002.363	48.0943	51.9057	
002.414	48.0943	51.9057	
002.478	48.0943	51.9057	
002.542	48.0943	51.9057	
002.606	48.0943	51.9057	
002.666	48.0943	51.9057	
002.729	48.0943	51.9057	
002.790	48.0943	51.9057	
002.854	48.0943	51.9057	
002.914	48.0943	51.9057	
002.978	48.0943	51.9057	
003.042	48.0943	51.9057	
003.106	48.0943	51.9057	
003.166	48.0943	51.9057	
003.229	48.0943	51.9057	
003.290	48.0943	51.9057	
003.354	48.0943	51.9057	
003.414	48.0943	51.9057	
003.478	48.0943	51.9057	
003.542	48.0943	51.9057	
003.606	48.0943	51.9057	
003.666	48.0943	51.9057	
003.730	47.8762	52.1238	
003.790	47.6598	52.3402	
003.854	47.3853	52.6147	
003.914	47.1469	52.8531	
003.978	46.8681	53.1319	
004.042	46.5751	53.4249	
004.106	46.2677	53.7323	
004.166	46.0301	53.9699	
004.230	45.7181	54.2819	
004.290	45.4006	54.5994	
004.354	45.0732	54.9268	
004.413	44.8015	55.1985	
004.478	44.5956	55.4044	
004.542	44.4715	55.5285	
004.606	44.4600	55.5399	
004.666	44.4600	55.5399	
004.730	44.4600	55.5399	
004.790	44.4600	55.5399	
004.854	44.4600	55.5399	
004.915	44.4600	55.5399	
004.978	44.4600	55.5399	
005.042	45.0106	54.9894	
005.106	45.6311	54.3689	
005.166	46.2455	53.7545	
005.230	46.9257	53.0743	
005.290	47.5771	52.4229	
005.354	48.1655	51.8345	
005.414	48.6980	51.3020	
005.478	49.1707	50.8293	
005.542	49.5519	50.4481	
005.606	49.8573	50.1427	
005.666	50.1603	49.8397	
005.730	50.5237	49.4763	
005.790	50.9032	49.0968	
005.858	51.3421	48.6579	
005.915	51.8886	48.1114	
005.978	52.2625	47.7375	
006.042	52.6586	47.3414	
006.106	52.9341	47.0659	
006.166	53.1530	46.8470	
006.230	53.3455	46.6545	
006.290	53.5230	46.4770	
006.358	53.7727	46.2273	
006.414	53.9712	46.0288	
006.478	54.0889	45.9111	
006.542	54.3010	45.6990	
006.606	54.5159	45.4841	
006.666	54.7771	45.2229	
006.730	54.8870	45.1130	
006.790	54.8870	45.1130	
006.858	54.8870	45.1130	
006.915	54.8870	45.1130	
006.978	54.8870	45.1130	
007.042	54.8870	45.1130	
7692	 7692	 7692 
7691	 7691	 7691 
000.032	50.0000	50.0000	
000.096	50.0000	50.0000	
000.155	50.0000	50.0000	
000.223	50.0000	50.0000	
000.279	50.0000	50.0000	
000.344	50.0000	50.0000	
000.407	49.6668	50.3332	
000.471	49.4269	50.5731	
000.531	49.1640	50.8360	
000.595	48.8153	51.1847	
000.655	48.5118	51.4882	
000.723	48.2890	51.7110	
000.780	48.0293	51.9707	
000.843	47.8571	52.1429	
000.907	47.8571	52.1429	
000.971	47.8571	52.1429	
001.031	47.8571	52.1429	
001.095	47.8571	52.1429	
001.155	47.8571	52.1429	
001.223	47.8571	52.1429	
001.279	47.8571	52.1429	
001.344	47.8571	52.1429	
001.407	48.2404	51.7596	
001.471	48.6481	51.3519	
001.532	49.0483	50.9517	
001.595	49.0483	50.9517	
001.655	49.3461	50.6539	
001.723	49.3461	50.6539	
001.780	49.7642	50.2358	
001.843	50.2878	49.7122	
001.907	50.7314	49.2686	
001.971	51.2096	48.7904	
002.031	51.6173	48.3827	
002.095	52.0322	47.9678	
002.155	52.3765	47.6235	
002.223	52.7302	47.2698	
002.279	52.9298	47.0702	
002.344	53.2153	46.7847	
002.407	53.3962	46.6038	
002.471	53.3962	46.6038	
002.531	53.3962	46.6038	
002.595	53.5890	46.4110	
002.656	53.5890	46.4110	
002.724	53.5890	46.4110	
002.780	53.5890	46.4110	
002.843	53.5890	46.4110	
002.907	53.5890	46.4110	
002.971	53.5890	46.4110	
003.032	53.5890	46.4110	
003.095	53.5890	46.4110	
003.155	53.5890	46.4110	
003.223	53.5890	46.4110	
003.279	53.5890	46.4110	
003.344	53.5890	46.4110	
003.408	53.5890	46.4110	
003.471	53.5890	46.4110	
003.531	53.5890	46.4110	
003.596	53.5890	46.4110	
003.655	53.5890	46.4110	
003.723	53.5890	46.4110	
003.779	53.5890	46.4110	
003.843	53.5890	46.4110	
003.907	53.5890	46.4110	
003.971	53.5890	46.4110	
004.032	53.5890	46.4110	
004.096	53.5890	46.4110	
004.155	53.5890	46.4110	
004.223	53.5890	46.4110	
004.279	53.5890	46.4110	
004.344	53.5890	46.4110	
004.407	53.5890	46.4110	
004.472	53.5890	46.4110	
004.532	53.5890	46.4110	
004.596	53.5890	46.4110	
004.656	53.5890	46.4110	
004.724	53.1172	46.8828	
004.780	52.6733	47.3267	
004.843	52.2570	47.7430	
004.908	51.8739	48.1261	
004.971	51.8739	48.1261	
005.031	51.8739	48.1261	
005.096	51.8739	48.1261	
005.156	51.8739	48.1261	
005.224	51.8739	48.1261	
005.279	51.8739	48.1261	
005.344	51.8739	48.1261	
005.407	51.8739	48.1261	
005.472	51.8739	48.1261	
005.531	51.8739	48.1261	
005.595	51.8739	48.1261	
005.655	51.8739	48.1261	
005.723	51.8739	48.1261	
005.780	51.8739	48.1261	
005.843	51.8739	48.1261	
005.908	51.8739	48.1261	
005.971	51.8739	48.1261	
006.031	51.5033	48.4967	
006.095	51.5033	48.4967	
006.159	51.5033	48.4967	
006.224	51.5033	48.4967	
006.279	51.5033	48.4967	
006.344	51.5033	48.4967	
006.408	51.5033	48.4967	
006.472	51.5033	48.4967	
006.531	51.5033	48.4967	
006.596	51.5033	48.4967	
006.660	51.5033	48.4967	
006.723	51.5033	48.4967	
006.780	51.5033	48.4967	
006.843	51.5033	48.4967	
006.907	51.5033	48.4967	
006.971	51.5033	48.4967	
007.031	51.5033	48.4967	
7692	 7692	 7692 
7701	 7701	 7701 
000.014	49.5128	50.4872	
000.078	48.9370	51.0630	
000.142	48.3511	51.6488	
000.198	47.7350	52.2650	
000.262	47.1055	52.8945	
000.326	46.5818	53.4182	
000.390	46.1083	53.8917	
000.451	45.5731	54.4269	
000.514	44.9895	55.0105	
000.578	44.4522	55.5478	
000.642	43.9348	56.0652	
