time 	 RH 	 LH 
7691	 7691	 7691 
000.011	50.0000	50.0000	
000.064	50.0000	50.0000	
000.129	50.0000	50.0000	
000.190	50.0000	50.0000	
000.258	50.0000	50.0000	
000.316	50.0000	50.0000	
000.379	50.5712	49.4288	
000.441	51.3912	48.6088	
000.505	52.4743	47.5257	
000.561	53.5573	46.4427	
000.625	54.6491	45.3509	
000.689	55.6744	44.3256	
000.753	56.4903	43.5097	
000.813	57.3721	42.6279	
000.877	58.0933	41.9067	
000.941	58.7132	41.2868	
001.005	59.3296	40.6704	
001.061	60.1463	39.8537	
001.125	61.0852	38.9148	
001.189	61.9344	38.0656	
001.254	62.7301	37.2699	
001.313	63.6653	36.3347	
001.377	64.5756	35.4244	
001.441	65.3787	34.6213	
001.505	66.3193	33.6807	
001.561	67.1342	32.8658	
001.625	67.8452	32.1548	
001.689	68.4117	31.5883	
001.753	69.1450	30.8550	
001.813	69.8519	30.1481	
001.877	70.3954	29.6046	
7693	 7693	 7693 
7701	 7701	 7701 
000.037	48.7799	51.2201	
000.101	48.0950	51.9050	
000.165	47.9288	52.0712	
000.229	47.9288	52.0712	
000.285	48.3327	51.6673	
000.358	48.3327	51.6673	
000.413	48.3327	51.6673	
000.477	48.3327	51.6673	
000.537	48.3327	51.6673	
000.601	48.3327	51.6673	
000.665	48.1165	51.8835	
000.728	48.6673	51.3327	
000.785	49.3751	50.6249	
000.849	50.1176	49.8824	
000.912	50.4125	49.5875	
000.976	50.4125	49.5875	
001.036	50.4125	49.5875	
001.101	49.4718	50.5282	
001.165	48.1134	51.8866	
001.228	46.5919	53.4081	
001.285	45.0702	54.9298	
001.349	43.5149	56.4851	
001.413	42.2018	57.7982	
001.477	40.8748	59.1252	
001.537	39.3886	60.6114	
001.601	37.9427	62.0573	
001.664	36.7178	63.2822	
001.728	35.3119	64.6881	
001.785	33.8768	66.1232	
001.849	32.4660	67.5340	
001.912	31.0831	68.9169	
001.976	29.8478	70.1522	
7703	 7703	 7703 
7701	 7701	 7701 
000.027	48.8715	51.1285	
000.092	47.8451	52.1549	
000.155	46.5802	53.4198	
000.211	45.2428	54.7572	
000.279	44.2884	55.7116	
000.339	43.3857	56.6143	
000.404	42.5146	57.4854	
000.463	41.8042	58.1958	
000.527	41.2779	58.7221	
000.591	40.7132	59.2868	
000.655	40.1979	59.8021	
000.711	39.6841	60.3159	
000.779	39.2353	60.7647	
000.839	39.0166	60.9834	
000.904	38.9713	61.0287	
000.963	38.9410	61.0590	
001.028	39.1105	60.8895	
001.091	39.3732	60.6268	
001.155	39.3732	60.6268	
001.211	40.2992	59.7008	
001.279	40.2992	59.7008	
001.339	41.2773	58.7227	
001.404	42.5365	57.4635	
001.463	43.7250	56.2750	
001.528	44.8834	55.1166	
001.591	45.7956	54.2044	
001.655	46.4405	53.5595	
001.711	47.0433	52.9567	
001.779	47.0433	52.9567	
001.839	47.0433	52.9567	
001.903	46.5828	53.4172	
001.963	45.9139	54.0861	
002.027	45.2547	54.7453	
002.091	44.3871	55.6129	
002.156	43.4181	56.5819	
002.212	42.2969	57.7031	
002.279	41.1896	58.8104	
002.340	39.8501	60.1499	
002.405	38.5325	61.4675	
002.463	37.3411	62.6589	
002.527	36.1356	63.8644	
002.591	35.0142	64.9858	
002.655	33.9340	66.0660	
002.711	32.9301	67.0699	
002.779	32.0353	67.9647	
002.840	31.1499	68.8501	
002.903	30.4668	69.5332	
002.964	29.7799	70.2201	
7703	 7703	 7703 
7691	 7691	 7691 
000.059	49.2941	50.7059	
000.123	48.7463	51.2537	
000.187	48.2553	51.7447	
000.247	48.0197	51.9803	
000.311	48.0197	51.9803	
000.371	48.0197	51.9803	
000.434	48.4997	51.5003	
000.495	48.4997	51.5003	
000.559	48.4997	51.5003	
000.622	48.4997	51.5003	
000.686	48.4997	51.5003	
000.746	49.0542	50.9458	
000.811	49.6949	50.3051	
000.871	50.3139	49.6861	
000.935	50.3139	49.6861	
000.995	50.3139	49.6861	
001.059	49.9233	50.0767	
001.122	49.3823	50.6177	
001.186	48.8774	51.1226	
001.247	48.4369	51.5631	
001.311	47.8483	52.1517	
001.371	47.3202	52.6798	
001.436	46.9515	53.0485	
001.494	46.9515	53.0485	
001.559	46.9515	53.0485	
001.622	46.2275	53.7725	
001.686	45.2821	54.7179	
001.747	44.0590	55.9410	
001.811	42.6396	57.3604	
001.871	41.0335	58.9665	
001.935	39.4505	60.5495	
001.994	37.8556	62.1444	
002.059	36.2711	63.7289	
002.122	34.7482	65.2518	
002.187	33.3046	66.6954	
002.247	31.8947	68.1053	
002.311	30.5747	69.4253	
002.371	29.2837	70.7163	
7692	 7692	 7692 
7691	 7691	 7691 
000.013	48.8344	51.1656	
000.072	47.8792	52.1208	
000.136	47.0436	52.9564	
000.196	46.0443	53.9557	
000.260	45.0271	54.9729	
000.320	44.1069	55.8931	
000.384	43.1294	56.8706	
000.448	42.5724	57.4276	
000.512	41.9932	58.0068	
000.572	41.3420	58.6580	
000.636	40.6527	59.3473	
000.696	40.3657	59.6343	
000.761	39.9990	60.0010	
000.820	39.3083	60.6917	
000.884	38.5084	61.4916	
000.948	37.8447	62.1553	
001.012	37.3549	62.6451	
001.072	37.0868	62.9132	
001.136	36.5834	63.4166	
001.196	36.5450	63.4550	
001.260	36.6827	63.3173	
001.320	37.0478	62.9522	
001.384	37.0478	62.9522	
001.448	37.0478	62.9522	
001.512	37.0478	62.9522	
001.572	37.0478	62.9522	
001.636	38.1083	61.8917	
001.696	39.4303	60.5697	
001.760	40.7636	59.2364	
001.821	42.5829	57.4171	
001.884	44.7872	55.2128	
001.948	46.9794	53.0206	
002.012	49.0809	50.9192	
002.072	51.0271	48.9729	
002.136	52.8667	47.1333	
002.196	54.5359	45.4641	
002.260	56.0151	43.9849	
002.320	57.3841	42.6159	
002.384	58.6481	41.3519	
002.448	59.9007	40.0993	
002.512	61.1870	38.8130	
002.572	62.4025	37.5975	
002.636	63.5701	36.4300	
002.696	64.6806	35.3194	
002.760	65.9599	34.0401	
002.820	67.2431	32.7569	
002.884	68.4530	31.5470	
002.948	69.6583	30.3417	
003.012	70.8203	29.1796	
7693	 7693	 7693 
7701	 7701	 7701 
000.047	47.5719	52.4281	
000.111	45.2852	54.7148	
000.171	43.1190	56.8810	
000.235	41.0748	58.9252	
000.294	39.1541	60.8459	
000.363	37.3475	62.6525	
000.419	35.6950	64.3050	
000.483	34.1513	65.8487	
000.546	32.7544	67.2456	
000.610	31.5068	68.4932	
000.671	30.3407	69.6593	
000.735	29.3636	70.6364	
7703	 7703	 7703 
7701	 7701	 7701 
000.045	47.7558	52.2442	
000.110	45.5485	54.4515	
000.166	43.4211	56.5789	
000.230	41.3751	58.6249	
000.294	39.3951	60.6049	
000.357	37.5140	62.4860	
000.417	35.7314	64.2686	
000.481	34.0802	65.9199	
000.545	32.5272	67.4728	
000.610	31.1327	68.8673	
000.666	29.8170	70.1830	
7703	 7703	 7703 
7691	 7691	 7691 
000.029	48.5594	51.4406	
000.092	47.4769	52.5231	
000.156	46.6666	53.3334	
000.220	45.6586	54.3414	
000.280	44.9528	55.0472	
000.344	44.4525	55.5475	
000.408	44.3927	55.6073	
000.472	44.3927	55.6073	
000.529	45.1186	54.8814	
000.592	46.0297	53.9703	
000.656	47.3274	52.6726	
000.720	48.8824	51.1176	
000.780	50.4317	49.5683	
000.844	51.9608	48.0392	
000.908	53.5285	46.4715	
000.972	55.1236	44.8764	
001.028	56.4378	43.5622	
001.092	57.5166	42.4834	
001.156	58.5465	41.4535	
001.221	59.6105	40.3895	
001.280	60.6675	39.3325	
001.344	61.7804	38.2196	
001.408	62.6967	37.3033	
001.472	63.6462	36.3538	
001.528	64.6160	35.3840	
001.592	65.7246	34.2754	
001.656	66.2546	33.7454	
001.720	66.5163	33.4837	
001.780	66.5954	33.4046	
001.844	66.5028	33.4972	
001.908	66.2206	33.7794	
001.972	65.7229	34.2771	
002.028	65.2552	34.7448	
002.092	65.2552	34.7448	
002.156	65.2552	34.7448	
002.221	64.0762	35.9238	
002.280	62.8262	37.1738	
002.344	61.6478	38.3522	
002.408	60.5158	39.4842	
002.472	59.2279	40.7721	
002.528	58.0709	41.9292	
002.592	56.8199	43.1801	
002.656	55.6419	44.3581	
002.720	54.2250	45.7750	
002.780	52.6468	47.3532	
002.844	51.0350	48.9650	
002.908	49.3318	50.6682	
002.972	47.6106	52.3894	
003.028	46.0265	53.9735	
003.092	44.6792	55.3208	
003.156	43.2173	56.7827	
003.220	41.7372	58.2628	
003.280	40.2060	59.7940	
003.344	38.6619	61.3381	
003.408	37.1988	62.8012	
003.472	35.8677	64.1323	
003.528	34.6304	65.3696	
003.592	33.5949	66.4051	
003.656	32.7935	67.2065	
003.720	31.9810	68.0190	
003.780	31.2173	68.7827	
003.844	30.2631	69.7369	
003.907	29.5260	70.4740	
7692	 7692	 7692 
7701	 7701	 7701 
000.033	48.7442	51.2558	
000.089	47.5157	52.4843	
000.157	46.1649	53.8351	
000.217	45.1026	54.8974	
000.281	43.9585	56.0415	
000.341	43.0491	56.9509	
000.405	42.2497	57.7503	
000.469	41.3635	58.6365	
000.533	40.5525	59.4475	
000.589	39.5495	60.4505	
000.657	38.4129	61.5871	
000.717	37.2304	62.7696	
000.781	35.9489	64.0511	
000.841	34.6716	65.3284	
000.904	33.4742	66.5258	
000.968	32.3525	67.6475	
