time 	 RH 	 LH 
7691	 7691	 7691 
000.033	50.0000	50.0000	
000.094	50.0000	50.0000	
000.154	50.0000	50.0000	
000.216	50.3930	49.6070	
000.284	51.1758	48.8242	
000.346	51.9472	48.0528	
000.399	52.6628	47.3372	
000.463	53.4145	46.5855	
000.527	53.8282	46.1718	
000.590	54.0765	45.9235	
000.650	54.2517	45.7483	
000.714	54.5426	45.4574	
000.778	54.5965	45.4035	
000.842	55.2371	44.7629	
000.898	56.1569	43.8431	
000.962	56.9179	43.0821	
001.026	57.1416	42.8584	
001.090	57.1416	42.8584	
001.150	56.2429	43.7571	
001.214	55.3463	44.6537	
001.278	54.1439	45.8561	
001.342	52.7403	47.2597	
001.398	51.4066	48.5934	
001.462	49.8291	50.1709	
001.526	48.3032	51.6967	
001.590	46.7797	53.2203	
001.651	45.3695	54.6305	
001.714	43.8461	56.1539	
001.778	42.4539	57.5461	
001.842	41.0283	58.9717	
001.899	39.5621	60.4379	
001.962	38.0760	61.9240	
002.026	36.7647	63.2353	
002.090	35.5871	64.4129	
002.150	34.4288	65.5712	
002.214	33.2295	66.7705	
002.278	32.1084	67.8916	
002.353	31.1097	68.8903	
002.398	30.2134	69.7866	
002.461	29.3205	70.6795	
7692	 7692	 7692 
7701	 7701	 7701 
000.032	47.7587	52.2412	
000.095	45.6466	54.3535	
000.159	43.6702	56.3298	
000.215	41.7712	58.2288	
000.283	39.9059	60.0941	
000.343	38.1259	61.8741	
000.407	36.4181	63.5819	
000.467	34.8553	65.1447	
000.531	33.3812	66.6188	
000.595	32.0512	67.9488	
000.659	30.8815	69.1185	
000.715	29.7987	70.2013	
7703	 7703	 7703 
7691	 7691	 7691 
000.033	47.8926	52.1074	
000.097	45.9258	54.0742	
000.160	44.0627	55.9373	
000.224	42.2648	57.7352	
000.280	40.4881	59.5119	
000.348	38.8437	61.1563	
000.409	37.4262	62.5738	
000.472	36.3224	63.6776	
000.532	35.3088	64.6912	
000.596	35.0780	64.9220	
000.660	34.9936	65.0064	
000.724	34.8360	65.1640	
000.784	34.5484	65.4516	
000.848	34.2405	65.7595	
000.908	33.5894	66.4106	
000.972	32.7474	67.2526	
001.032	32.1590	67.8410	
001.096	31.5909	68.4091	
001.160	31.0931	68.9069	
001.224	30.6330	69.3670	
001.284	30.3412	69.6588	
001.348	30.2297	69.7703	
001.408	30.0413	69.9587	
001.472	29.6687	70.3313	
7692	 7692	 7692 
7701	 7701	 7701 
000.023	51.8952	48.1048	
000.087	53.6679	46.3321	
000.146	55.3109	44.6891	
000.210	56.9405	43.0595	
000.271	58.4754	41.5246	
000.334	60.0348	39.9652	
000.398	61.5031	38.4969	
000.462	62.9052	37.0948	
000.522	64.2659	35.7341	
000.586	65.2564	34.7436	
000.646	65.9253	34.0747	
000.710	66.6812	33.3188	
000.770	67.3472	32.6528	
000.835	68.0243	31.9757	
000.898	68.4849	31.5151	
000.962	68.4506	31.5494	
001.023	68.1365	31.8635	
001.086	68.1365	31.8635	
001.146	66.7434	33.2566	
001.210	64.9922	35.0078	
001.271	63.0393	36.9607	
001.334	60.6766	39.3234	
001.398	58.3186	41.6814	
001.462	55.8528	44.1472	
001.522	53.4468	46.5532	
001.586	51.3172	48.6828	
001.646	49.5478	50.4522	
001.710	48.0265	51.9735	
001.770	46.5977	53.4023	
001.834	45.1255	54.8745	
001.898	43.7705	56.2295	
001.962	42.4108	57.5892	
002.022	41.1336	58.8664	
002.085	39.8975	60.1025	
002.145	38.8044	61.1956	
002.209	37.8868	62.1132	
002.269	37.0204	62.9797	
002.333	36.6697	63.3303	
002.397	36.5598	63.4402	
002.461	36.7499	63.2501	
002.521	36.7499	63.2501	
002.585	36.7499	63.2501	
002.645	36.7499	63.2501	
002.709	36.8155	63.1845	
002.769	37.0653	62.9347	
002.833	37.4215	62.5785	
002.897	37.7459	62.2541	
002.961	37.7459	62.2541	
003.021	37.7459	62.2541	
003.085	38.9237	61.0763	
003.145	40.0914	59.9086	
003.209	41.1134	58.8866	
003.269	42.1905	57.8095	
003.333	43.4127	56.5873	
003.397	44.5578	55.4422	
003.461	45.6124	54.3876	
003.521	46.4795	53.5205	
003.585	47.3950	52.6050	
003.645	48.3982	51.6018	
003.709	49.7654	50.2346	
003.769	50.9144	49.0856	
003.833	51.7503	48.2497	
003.897	52.5885	47.4115	
003.961	53.7215	46.2785	
004.021	54.6356	45.3644	
004.085	55.3340	44.6660	
004.145	56.1711	43.8289	
004.208	57.0572	42.9428	
004.268	57.9421	42.0579	
004.333	58.6492	41.3508	
004.397	59.3391	40.6609	
004.461	59.9977	40.0023	
004.520	60.8715	39.1285	
004.584	61.6781	38.3219	
004.644	62.1878	37.8122	
004.708	62.2654	37.7346	
004.768	62.2853	37.7147	
004.832	62.4482	37.5518	
004.896	62.4673	37.5327	
004.960	62.4274	37.5726	
005.020	62.7531	37.2469	
005.084	63.1739	36.8261	
005.144	63.6674	36.3326	
005.208	63.4299	36.5701	
005.268	63.0917	36.9083	
005.332	62.1828	37.8172	
005.396	60.8327	39.1673	
005.461	59.6542	40.3458	
005.520	58.5681	41.4319	
005.584	57.6899	42.3101	
005.644	57.6899	42.3101	
005.708	57.6899	42.3101	
005.768	57.6899	42.3101	
005.832	57.6899	42.3101	
005.896	57.6899	42.3101	
005.960	56.9631	43.0369	
006.020	55.8026	44.1974	
006.084	54.4432	45.5568	
006.144	52.9097	47.0903	
006.208	51.7069	48.2931	
006.268	50.4580	49.5420	
006.332	49.7766	50.2234	
006.396	49.5098	50.4902	
006.459	49.5098	50.4902	
006.519	49.5098	50.4902	
006.583	49.0178	50.9822	
006.644	48.0252	51.9748	
006.707	47.3142	52.6858	
006.767	46.4522	53.5478	
006.831	45.5917	54.4083	
006.895	44.6348	55.3652	
006.959	43.7050	56.2950	
007.019	42.8242	57.1758	
7702	 7702	 7702 
7701	 7701	 7701 
000.066	50.8219	49.1780	
000.125	51.6709	48.3291	
000.193	52.5715	47.4285	
000.249	53.4683	46.5318	
000.313	54.1983	45.8017	
000.377	54.6063	45.3937	
000.442	54.6063	45.3937	
000.501	54.6063	45.3937	
000.565	53.5496	46.4504	
000.625	52.3168	47.6832	
000.693	51.1555	48.8445	
000.750	49.9757	50.0243	
000.813	48.6288	51.3712	
000.878	47.4155	52.5845	
000.941	46.4766	53.5234	
001.002	45.6030	54.3970	
001.066	44.8088	55.1912	
001.126	43.7540	56.2460	
001.193	42.7254	57.2746	
001.250	41.5799	58.4201	
001.314	40.4198	59.5802	
001.378	39.3902	60.6098	
001.442	38.4332	61.5668	
001.502	37.4603	62.5397	
001.566	36.9592	63.0408	
001.626	36.7671	63.2329	
001.694	36.1961	63.8039	
001.750	35.7551	64.2449	
001.814	35.8396	64.1604	
001.878	35.9636	64.0364	
001.942	35.9493	64.0507	
002.002	35.8217	64.1783	
002.066	35.6690	64.3310	
002.126	35.8217	64.1783	
002.194	36.1553	63.8447	
002.250	36.2525	63.7475	
002.314	36.5444	63.4556	
002.378	36.7681	63.2319	
002.442	36.7681	63.2319	
002.502	38.0904	61.9096	
002.566	39.5439	60.4561	
002.626	40.9680	59.0320	
002.694	42.5840	57.4160	
002.750	43.9911	56.0089	
002.814	44.8500	55.1500	
002.878	45.3800	54.6200	
002.942	45.9009	54.0991	
003.002	46.5356	53.4644	
003.066	46.5356	53.4644	
003.126	46.5356	53.4644	
003.194	46.2270	53.7730	
003.251	46.0053	53.9947	
003.314	45.5114	54.4886	
003.378	44.6789	55.3211	
003.444	43.8222	56.1778	
003.502	42.8485	57.1515	
003.566	41.5983	58.4017	
003.627	40.1642	59.8358	
003.695	38.5731	61.4269	
003.751	37.0075	62.9925	
003.815	35.5775	64.4225	
003.879	34.1695	65.8305	
003.943	32.7076	67.2924	
004.003	31.3237	68.6763	
004.067	30.0466	69.9534	
004.127	28.9087	71.0913	
7703	 7703	 7703 
7701	 7701	 7701 
000.032	48.0692	51.9308	
000.092	46.2021	53.7979	
000.156	44.3234	55.6766	
000.220	42.4364	57.5636	
000.284	40.6495	59.3505	
000.340	38.9172	61.0828	
000.404	37.2884	62.7116	
000.468	35.7998	64.2002	
000.532	34.4243	65.5757	
000.592	33.1554	66.8446	
000.656	31.9037	68.0963	
000.720	30.8813	69.1187	
000.784	29.9921	70.0079	
7703	 7703	 7703 
7691	 7691	 7691 
000.058	50.0000	50.0000	
000.121	49.2138	50.7862	
000.177	48.6501	51.3499	
000.241	47.9843	52.0157	
000.305	47.4210	52.5790	
000.369	46.8021	53.1979	
000.429	46.2942	53.7058	
000.493	45.9838	54.0162	
000.558	45.3664	54.6336	
000.621	44.7352	55.2648	
000.677	44.2513	55.7487	
000.742	44.2513	55.7487	
000.807	44.2513	55.7487	
000.871	44.2513	55.7487	
000.929	44.8231	55.1769	
000.995	45.4190	54.5810	
001.057	46.0798	53.9202	
001.121	47.2675	52.7325	
001.177	48.0842	51.9158	
001.241	49.0363	50.9637	
001.307	50.0921	49.9079	
001.371	51.2417	48.7583	
001.429	52.4819	47.5181	
001.493	53.6945	46.3055	
001.557	54.8911	45.1089	
001.621	56.2077	43.7923	
001.677	57.4176	42.5824	
001.741	58.4260	41.5740	
001.805	58.9543	41.0457	
001.869	59.4134	40.5866	
001.929	59.9162	40.0838	
001.993	60.4600	39.5400	
002.057	60.5628	39.4372	
002.121	60.5858	39.4142	
002.177	60.9326	39.0674	
002.241	61.0891	38.9109	
002.305	61.2051	38.7949	
002.369	61.4392	38.5608	
002.431	61.7835	38.2165	
002.493	62.1437	37.8563	
002.557	62.3664	37.6336	
002.621	62.6505	37.3495	
002.677	62.7305	37.2695	
002.741	62.8936	37.1064	
002.805	63.3246	36.6754	
002.869	63.7561	36.2439	
002.929	63.8463	36.1537	
002.993	63.9367	36.0634	
003.057	64.3050	35.6950	
003.121	64.9747	35.0253	
003.177	65.6084	34.3916	
003.241	66.4377	33.5623	
003.305	67.3024	32.6976	
003.369	68.2511	31.7489	
003.429	69.0431	30.9569	
003.494	69.9074	30.0926	
003.557	70.8665	29.1335	
7693	 7693	 7693 
7691	 7691	 7691 
000.014	51.0317	48.9683	
000.082	51.7726	48.2274	
000.142	52.5643	47.4357	
000.206	53.3514	46.6486	
000.266	54.2597	45.7403	
000.330	55.1751	44.8249	
000.394	55.9136	44.0864	
000.458	56.5907	43.4093	
000.513	56.9085	43.0915	
000.582	57.1213	42.8787	
000.642	56.5107	43.4893	
000.706	55.5162	44.4838	
000.766	54.2828	45.7172	
000.829	53.1944	46.8056	
000.893	52.2586	47.7414	
000.957	51.0067	48.9933	
001.014	49.9818	50.0182	
001.081	49.2494	50.7506	
001.142	48.5134	51.4866	
001.206	47.7088	52.2912	
001.265	46.8967	53.1033	
001.330	46.1836	53.8164	
001.393	45.8651	54.1349	
001.458	45.4210	54.5790	
001.514	45.0319	54.9681	
001.581	44.9021	55.0979	
001.641	45.6512	54.3488	
001.705	46.8576	53.1424	
001.765	48.3478	51.6522	
001.829	50.1161	49.8839	
001.893	51.7876	48.2124	
001.958	53.4763	46.5238	
002.014	55.0960	44.9040	
002.082	56.6844	43.3156	
002.142	58.1419	41.8581	
002.206	59.4815	40.5185	
002.265	60.5718	39.4282	
002.329	61.4881	38.5119	
002.394	62.2171	37.7829	
002.457	63.0540	36.9460	
002.513	63.8171	36.1829	
002.581	64.4188	35.5812	
002.641	65.1744	34.8256	
002.705	66.0663	33.9337	
002.765	67.0692	32.9308	
002.829	67.6274	32.3726	
002.893	68.3097	31.6903	
002.957	69.1564	30.8436	
003.013	69.8801	30.1199	
003.081	70.4907	29.5093	
7693	 7693	 7693 
7691	 7691	 7691 
000.030	50.9485	49.0515	
