time 	 RH 	 LH 
7691	 7691	 7691 
000.024	50.0000	50.0000	
000.085	50.0000	50.0000	
000.150	50.0000	50.0000	
000.206	50.0000	50.0000	
000.275	50.0000	50.0000	
000.337	50.0000	50.0000	
000.398	50.0000	50.0000	
000.454	50.0000	50.0000	
000.518	50.0000	50.0000	
000.582	50.0000	50.0000	
000.646	50.2526	49.7474	
000.705	50.2526	49.7474	
000.769	50.2526	49.7474	
000.833	50.2526	49.7474	
000.897	50.2526	49.7474	
000.953	50.2526	49.7474	
001.017	49.7346	50.2654	
001.081	48.9979	51.0021	
001.146	48.2356	51.7644	
001.206	47.6241	52.3759	
001.270	47.0562	52.9438	
001.333	46.4294	53.5706	
001.397	45.8401	54.1599	
001.453	45.3665	54.6335	
001.517	44.9096	55.0904	
001.581	44.6640	55.3360	
001.646	44.6640	55.3360	
001.705	45.1965	54.8035	
001.769	45.7517	54.2483	
001.833	46.3850	53.6150	
001.897	46.9383	53.0617	
001.954	47.4807	52.5193	
002.017	48.0463	51.9537	
002.081	48.5612	51.4388	
002.146	49.0590	50.9410	
002.206	49.5967	50.4033	
002.270	50.1697	49.8303	
002.342	50.8199	49.1801	
002.397	51.5624	48.4376	
002.453	52.0828	47.9172	
002.517	52.5917	47.4083	
002.581	52.7459	47.2541	
002.645	52.2803	47.7197	
002.705	51.5758	48.4242	
002.769	50.7056	49.2944	
002.833	49.7971	50.2029	
002.897	49.0118	50.9882	
002.953	48.3735	51.6265	
003.021	47.7093	52.2907	
003.081	47.0053	52.9947	
003.145	46.4122	53.5878	
003.205	46.2735	53.7265	
003.270	46.9039	53.0961	
003.333	47.4192	52.5808	
003.397	47.4192	52.5808	
003.453	47.4192	52.5808	
003.521	47.4192	52.5808	
003.582	47.4192	52.5808	
003.645	47.4192	52.5808	
003.705	47.4192	52.5808	
003.769	47.8956	52.1044	
003.833	48.3660	51.6340	
003.897	48.8326	51.1674	
003.953	49.2858	50.7142	
004.021	49.7718	50.2282	
004.082	50.2940	49.7060	
004.145	50.7877	49.2123	
004.205	50.7877	49.2123	
004.270	49.8694	50.1306	
