time 	 RH 	 LH 
7701	 7701	 7701 
000.076	50.4342	49.5658	
000.130	50.7957	49.2043	
000.193	51.6652	48.3348	
000.256	52.5854	47.4146	
000.327	53.4769	46.5231	
000.380	54.3061	45.6939	
000.443	55.0963	44.9037	
000.503	55.9973	44.0027	
000.568	56.8630	43.1370	
000.627	57.7158	42.2842	
7702	 7702	 7702 
7701	 7701	 7701 
000.063	49.7274	50.2726	
000.119	49.7274	50.2726	
000.183	49.7274	50.2726	
000.247	49.7274	50.2726	
000.311	50.1436	49.8564	
000.371	50.9222	49.0778	
000.435	51.6723	48.3277	
000.494	52.3816	47.6184	
000.563	53.0915	46.9085	
000.619	53.8080	46.1920	
000.683	54.4578	45.5422	
000.746	54.9987	45.0013	
000.810	55.3348	44.6652	
000.871	55.5534	44.4466	
000.935	55.7563	44.2437	
000.994	55.9848	44.0152	
001.062	56.2018	43.7982	
001.118	56.2891	43.7109	
001.182	56.4143	43.5857	
001.246	56.4994	43.5006	
001.311	56.4994	43.5006	
001.371	55.6606	44.3394	
001.434	54.7751	45.2249	
001.494	54.0635	45.9365	
001.563	53.4195	46.5805	
001.618	52.8575	47.1425	
001.691	52.3603	47.6397	
001.747	51.9227	48.0773	
001.811	51.9227	48.0773	
001.871	51.9227	48.0773	
001.934	51.9227	48.0773	
001.994	51.9227	48.0773	
002.062	52.1209	47.8791	
002.118	52.4109	47.5891	
002.183	52.5906	47.4094	
002.247	52.5906	47.4094	
002.311	52.7843	47.2157	
002.372	53.0073	46.9927	
002.434	53.4264	46.5736	
002.495	53.7085	46.2915	
002.563	53.8569	46.1431	
002.619	53.8569	46.1431	
002.682	53.8569	46.1431	
002.746	53.8569	46.1431	
002.811	53.8569	46.1431	
002.871	53.8569	46.1431	
002.934	53.8569	46.1431	
002.994	53.3492	46.6508	
003.062	52.5696	47.4304	
003.119	51.6915	48.3085	
003.182	50.8761	49.1239	
003.246	50.0777	49.9224	
003.310	49.1386	50.8614	
003.371	48.2739	51.7261	
