time 	 RH 	 LH 
7691	 7691	 7691 
000.034	50.0000	50.0000	
000.095	50.0000	50.0000	
000.155	50.0000	50.0000	
000.216	50.0000	50.0000	
000.280	50.0000	50.0000	
000.343	50.0000	50.0000	
000.404	50.0000	50.0000	
000.467	50.0000	50.0000	
000.527	50.0000	50.0000	
000.592	50.0000	50.0000	
000.651	50.0000	50.0000	
000.715	50.0000	50.0000	
000.775	50.0000	50.0000	
000.839	50.0000	50.0000	
000.904	50.2846	49.7154	
000.967	50.5227	49.4773	
001.027	50.7720	49.2280	
001.091	51.0855	48.9145	
001.152	51.3593	48.6407	
001.215	51.5601	48.4399	
001.275	51.5601	48.4399	
001.339	51.1651	48.8349	
001.403	50.6734	49.3266	
001.467	50.2863	49.7137	
001.527	49.8961	50.1039	
001.591	49.4652	50.5348	
001.652	49.0547	50.9453	
001.715	48.7224	51.2776	
001.775	48.3925	51.6075	
001.839	48.0716	51.9284	
001.903	47.7851	52.2149	
001.967	47.5511	52.4489	
002.027	47.3995	52.6005	
002.091	47.3995	52.6005	
002.151	47.8643	52.1357	
002.215	48.5656	51.4344	
002.275	49.4136	50.5864	
002.348	50.1896	49.8104	
002.403	50.9159	49.0841	
002.467	51.6469	48.3531	
002.527	52.4375	47.5625	
002.591	53.1439	46.8561	
002.651	53.8166	46.1834	
002.715	54.3450	45.6551	
002.775	54.8398	45.1602	
002.839	55.4938	44.5062	
002.903	56.0338	43.9662	
002.967	56.4507	43.5493	
003.027	56.8329	43.1671	
003.091	57.1469	42.8531	
003.151	57.1469	42.8531	
003.215	57.1469	42.8531	
003.275	57.1469	42.8531	
003.339	57.1469	42.8531	
003.403	57.1477	42.8523	
003.467	57.6253	42.3747	
003.527	58.6468	41.3532	
003.592	59.5672	40.4328	
003.651	60.3813	39.6187	
003.715	61.2051	38.7949	
003.775	61.9450	38.0550	
003.839	62.4822	37.5178	
003.903	62.9608	37.0392	
003.967	63.4469	36.5531	
004.027	63.8115	36.1886	
004.091	64.1385	35.8615	
004.152	64.3560	35.6440	
004.215	64.4423	35.5577	
004.275	64.4680	35.5320	
004.339	64.5527	35.4473	
004.403	64.5872	35.4128	
004.468	64.1342	35.8658	
004.527	64.1342	35.8658	
004.591	64.1342	35.8658	
004.651	64.1342	35.8658	
004.715	64.1342	35.8658	
004.775	64.1342	35.8658	
004.839	64.1342	35.8658	
004.903	64.1342	35.8658	
004.967	64.1342	35.8658	
005.027	64.1342	35.8658	
005.091	64.1342	35.8658	
005.151	64.1342	35.8658	
005.215	64.1342	35.8658	
005.275	64.1342	35.8658	
005.339	63.1546	36.8454	
005.403	62.2079	37.7921	
005.467	62.2079	37.7921	
005.527	60.6300	39.3700	
005.592	58.8775	41.1225	
005.651	57.4914	42.5086	
005.715	56.3656	43.6344	
005.775	55.3557	44.6443	
005.839	54.6438	45.3562	
005.903	54.6438	45.3562	
005.967	55.2575	44.7425	
006.027	56.0078	43.9922	
006.091	56.6315	43.3685	
006.151	57.2707	42.7293	
006.215	58.0455	41.9545	
006.275	58.7972	41.2028	
006.339	59.5148	40.4852	
006.403	60.1416	39.8584	
006.467	60.6017	39.3983	
006.527	61.0248	38.9752	
006.591	61.4798	38.5202	
006.651	61.7611	38.2389	
006.715	61.9520	38.0480	
006.775	62.1415	37.8585	
006.839	62.1316	37.8684	
006.903	61.9013	38.0987	
006.967	60.6933	39.3067	
007.027	59.2824	40.7176	
7692	 7692	 7692 
7701	 7701	 7701 
000.054	51.1763	48.8237	
000.117	52.4057	47.5943	
000.177	53.5212	46.4788	
000.241	54.5130	45.4870	
000.301	55.5160	44.4840	
000.369	56.5532	43.4468	
000.425	57.5999	42.4001	
000.489	58.5108	41.4892	
000.553	59.3349	40.6651	
000.617	60.4432	39.5568	
000.677	61.6983	38.3017	
000.741	62.8186	37.1814	
000.801	63.5795	36.4205	
000.869	64.1045	35.8955	
000.925	64.5814	35.4186	
000.989	65.0662	34.9338	
001.053	65.5819	34.4181	
001.117	65.9908	34.0092	
001.179	66.3161	33.6839	
001.241	66.5736	33.4264	
001.301	66.7550	33.2450	
001.369	66.7383	33.2617	
001.425	66.5381	33.4619	
001.489	66.4626	33.5374	
001.553	66.3765	33.6235	
001.617	65.8125	34.1875	
001.677	64.7606	35.2394	
001.741	63.7327	36.2673	
001.801	62.7616	37.2384	
001.869	61.8363	38.1637	
001.925	61.8363	38.1637	
001.990	61.8363	38.1637	
002.053	60.7182	39.2818	
002.117	59.3581	40.6419	
002.177	58.0873	41.9127	
002.241	56.9613	43.0387	
002.301	55.9390	44.0610	
002.369	55.0518	44.9482	
002.425	54.4551	45.5449	
002.489	54.4551	45.5449	
002.553	54.4551	45.5449	
002.617	53.8415	46.1585	
002.677	53.1011	46.8989	
002.741	52.4249	47.5751	
002.801	51.7323	48.2677	
002.869	51.0201	48.9799	
002.925	50.2857	49.7143	
002.989	49.5384	50.4616	
003.053	48.8424	51.1576	
003.117	48.1098	51.8902	
003.177	47.3232	52.6768	
003.241	47.1715	52.8285	
003.301	47.1715	52.8285	
003.369	47.1715	52.8285	
003.425	47.1715	52.8285	
003.489	47.1715	52.8285	
003.553	47.1715	52.8285	
003.617	47.5839	52.4161	
003.677	48.0437	51.9563	
003.741	48.6642	51.3358	
003.801	49.4303	50.5697	
003.869	50.2049	49.7951	
003.925	50.9922	49.0078	
003.989	51.7272	48.2728	
004.053	52.4016	47.5984	
004.117	52.9820	47.0180	
004.177	53.5258	46.4742	
004.241	53.5258	46.4742	
004.301	52.9690	47.0310	
004.369	52.2397	47.7603	
004.425	52.5380	47.4620	
004.489	53.2872	46.7128	
004.553	54.0719	45.9281	
004.617	54.7276	45.2724	
004.677	55.3458	44.6542	
004.741	55.7455	44.2545	
004.801	56.0593	43.9407	
004.869	56.3189	43.6811	
004.925	56.5499	43.4501	
004.989	56.7552	43.2448	
005.053	56.9888	43.0112	
005.117	57.2805	42.7195	
005.177	57.6074	42.3926	
005.241	57.9352	42.0648	
005.301	58.3234	41.6766	
005.369	58.7595	41.2405	
005.425	58.7595	41.2405	
005.489	57.7198	42.2802	
005.553	56.6960	43.3040	
005.617	55.8194	44.1806	
005.677	54.9779	45.0221	
005.741	54.2346	45.7654	
005.801	53.4074	46.5926	
005.869	52.5341	47.4659	
005.925	51.7819	48.2181	
005.989	51.0493	48.9507	
006.053	50.3045	49.6955	
006.117	49.5903	50.4097	
006.177	48.8238	51.1762	
006.241	47.9924	52.0076	
006.301	46.8876	53.1124	
006.369	45.8196	54.1804	
006.425	44.7820	55.2180	
006.489	43.7974	56.2026	
006.553	42.8940	57.1060	
006.617	42.0170	57.9830	
006.678	41.2224	58.7776	
006.741	40.5090	59.4910	
006.800	39.8756	60.1244	
006.869	39.5781	60.4219	
006.925	39.2420	60.7580	
006.989	39.0123	60.9877	
007.053	38.7416	61.2584	
7702	 7702	 7702 
7701	 7701	 7701 
000.010	51.0983	48.9017	
000.075	51.9957	48.0043	
000.138	52.9821	47.0179	
000.198	54.0735	45.9265	
000.263	55.1809	44.8191	
000.326	56.2664	43.7336	
000.390	57.3368	42.6632	
000.447	58.3254	41.6746	
000.510	59.2482	40.7518	
000.574	60.1207	39.8793	
000.638	60.9385	39.0615	
000.698	61.6601	38.3399	
000.762	62.3082	37.6918	
000.827	62.8882	37.1118	
000.890	63.4765	36.5235	
000.947	64.1589	35.8411	
001.011	64.7234	35.2765	
001.074	65.2162	34.7838	
001.139	65.6025	34.3975	
001.199	65.8701	34.1299	
001.263	66.2604	33.7396	
001.326	66.5137	33.4863	
001.390	66.7964	33.2036	
001.446	67.1142	32.8858	
001.510	67.4911	32.5089	
001.574	67.8482	32.1518	
001.638	68.1027	31.8973	
001.698	68.2683	31.7317	
001.762	68.3297	31.6703	
001.827	68.3537	31.6463	
001.890	67.9770	32.0230	
001.946	67.9770	32.0230	
002.010	67.9770	32.0230	
002.074	67.9770	32.0230	
002.138	67.9770	32.0230	
002.198	67.9770	32.0230	
002.263	67.9770	32.0230	
002.326	66.8130	33.1870	
002.390	65.5824	34.4176	
002.446	64.2087	35.7913	
002.510	62.5760	37.4240	
002.574	60.9545	39.0455	
002.638	59.4568	40.5432	
002.698	58.1293	41.8707	
002.762	56.9961	43.0039	
002.826	55.7068	44.2932	
002.890	54.5789	45.4211	
002.946	53.5853	46.4147	
003.010	52.5402	47.4598	
003.074	51.3998	48.6002	
003.138	50.2727	49.7273	
003.198	49.2407	50.7593	
003.263	48.1754	51.8246	
003.326	47.2518	52.7482	
003.390	46.3472	53.6528	
003.446	45.5943	54.4057	
003.510	44.7849	55.2151	
003.574	43.9877	56.0123	
003.638	43.1612	56.8388	
003.698	42.4432	57.5568	
003.762	41.6715	58.3285	
003.826	40.9645	59.0355	
003.890	40.1481	59.8519	
003.947	39.3482	60.6518	
004.011	38.5719	61.4281	
004.075	37.9256	62.0744	
004.138	37.3623	62.6377	
004.198	36.7852	63.2148	
004.263	36.3094	63.6906	
004.326	35.8688	64.1312	
004.390	35.4229	64.5771	
004.446	34.8915	65.1085	
004.510	34.4558	65.5442	
004.574	34.1654	65.8346	
004.638	33.8087	66.1913	
004.698	33.3403	66.6597	
004.763	32.9710	67.0290	
004.826	32.6492	67.3508	
004.890	32.3540	67.6460	
004.946	31.9103	68.0897	
005.010	31.5238	68.4762	
005.074	31.1833	68.8167	
005.138	30.8483	69.1517	
