time 	 RH 	 LH 
7691	 7691	 7691 
000.028	50.0000	50.0000	
000.088	50.0000	50.0000	
000.150	50.3935	49.6065	
000.210	51.2390	48.7610	
000.278	51.9709	48.0291	
000.340	52.4297	47.5703	
000.394	52.8287	47.1713	
000.457	53.2252	46.7748	
000.522	53.4925	46.5075	
000.585	53.6328	46.3672	
000.645	53.7271	46.2729	
000.709	53.7271	46.2729	
000.773	53.7271	46.2729	
000.837	53.7271	46.2729	
000.893	53.7271	46.2729	
000.957	53.7271	46.2729	
001.021	53.7271	46.2729	
001.085	53.7271	46.2729	
001.145	53.7271	46.2729	
001.209	53.1848	46.8152	
001.273	52.6684	47.3316	
001.337	52.2644	47.7356	
001.393	51.8436	48.1564	
001.457	51.8436	48.1564	
001.522	51.4844	48.5156	
001.585	51.0920	48.9080	
001.646	50.6661	49.3339	
001.709	50.3759	49.6241	
001.773	50.0967	49.9033	
001.837	49.8335	50.1665	
001.893	49.8335	50.1665	
001.957	49.8335	50.1665	
002.021	50.5703	49.4297	
002.085	51.2643	48.7357	
002.146	51.7703	48.2297	
002.209	51.7703	48.2297	
002.273	51.7703	48.2297	
002.346	51.7703	48.2297	
002.393	51.7703	48.2297	
002.457	51.7703	48.2297	
002.521	51.7703	48.2297	
002.585	51.7703	48.2297	
002.645	51.7703	48.2297	
002.709	51.7703	48.2297	
002.773	51.9587	48.0413	
002.837	52.2999	47.7001	
002.893	52.4973	47.5027	
002.957	52.4973	47.5027	
003.021	51.8205	48.1795	
003.085	51.2581	48.7419	
003.145	50.6827	49.3173	
003.209	50.0903	49.9097	
003.273	49.5927	50.4073	
003.337	49.1798	50.8202	
003.393	48.9676	51.0324	
003.457	48.9676	51.0324	
003.521	48.6532	51.3467	
003.585	48.3073	51.6927	
003.646	47.9361	52.0639	
003.709	47.5908	52.4092	
003.773	47.2165	52.7835	
003.837	46.7603	53.2397	
003.893	46.4829	53.5171	
003.957	46.2762	53.7238	
004.021	46.1616	53.8384	
004.085	45.9500	54.0500	
004.145	45.7455	54.2545	
004.209	46.2738	53.7262	
004.274	46.8152	53.1848	
004.337	47.3149	52.6851	
004.393	47.3149	52.6851	
004.457	47.3149	52.6851	
004.522	47.3149	52.6851	
004.585	47.3149	52.6851	
004.645	47.3149	52.6851	
004.709	47.3149	52.6851	
004.773	47.3149	52.6851	
004.837	47.3149	52.6851	
004.893	47.3149	52.6851	
004.957	47.3149	52.6851	
005.021	47.3149	52.6851	
005.085	47.3149	52.6851	
005.145	47.3149	52.6851	
005.209	46.7329	53.2671	
005.273	46.1625	53.8375	
005.337	45.3956	54.6044	
005.393	44.8153	55.1847	
7692	 7692	 7692 
7701	 7701	 7701 
000.044	50.0000	50.0000	
000.104	49.0132	50.9868	
000.167	47.7576	52.2424	
000.231	46.7200	53.2800	
000.296	45.8196	54.1804	
000.352	45.0828	54.9172	
000.419	44.3876	55.6124	
7703	 7703	 7703 
7701	 7701	 7701 
000.016	48.5685	51.4315	
000.077	47.2261	52.7739	
000.140	45.9930	54.0070	
000.200	44.8008	55.1992	
7703	 7703	 7703 
7691	 7691	 7691 
000.044	50.0000	50.0000	
000.108	50.0000	50.0000	
000.169	50.0000	50.0000	
000.232	50.0000	50.0000	
000.292	50.0000	50.0000	
000.356	50.0000	50.0000	
000.420	50.0000	50.0000	
000.484	50.0000	50.0000	
000.544	50.0000	50.0000	
000.608	49.6207	50.3793	
000.668	49.0457	50.9543	
000.732	48.3893	51.6107	
000.792	47.6164	52.3836	
000.856	46.9044	53.0956	
000.920	46.2949	53.7051	
000.984	45.7576	54.2424	
001.044	45.4254	54.5746	
001.108	45.1951	54.8049	
001.169	45.0132	54.9868	
001.232	44.8536	55.1464	
7692	 7692	 7692 
7691	 7691	 7691 
000.017	49.1926	50.8074	
000.072	48.3546	51.6454	
000.136	47.5585	52.4415	
000.200	46.8725	53.1275	
000.264	46.2960	53.7040	
000.324	45.9527	54.0473	
000.388	45.6745	54.3255	
000.448	45.4864	54.5136	
000.516	45.4864	54.5136	
000.572	45.4864	54.5136	
000.636	46.0038	53.9962	
000.700	46.4955	53.5044	
000.764	46.9547	53.0453	
000.824	47.4022	52.5978	
000.888	47.8122	52.1878	
000.948	48.2148	51.7852	
001.016	48.5581	51.4419	
001.072	48.5581	51.4419	
001.136	48.5581	51.4419	
001.200	48.5581	51.4419	
001.264	48.3259	51.6741	
001.325	47.9389	52.0611	
001.388	47.5215	52.4785	
001.448	47.0721	52.9279	
001.516	46.4374	53.5626	
001.572	45.7441	54.2559	
001.636	44.9739	55.0261	
7692	 7692	 7692 
7691	 7691	 7691 
000.038	50.0000	50.0000	
000.106	50.0000	50.0000	
000.162	49.6619	50.3381	
000.226	49.2571	50.7429	
000.290	48.8102	51.1898	
000.354	48.4162	51.5838	
000.414	48.0605	51.9395	
000.478	47.5209	52.4791	
000.538	47.0221	52.9779	
000.606	46.5833	53.4167	
000.662	46.2111	53.7889	
000.726	46.0653	53.9348	
000.790	46.0653	53.9348	
000.854	46.0653	53.9348	
000.914	46.9013	53.0987	
000.978	48.0551	51.9449	
001.038	49.2689	50.7311	
001.106	50.4017	49.5983	
001.162	51.4756	48.5244	
001.226	52.5008	47.4992	
001.290	53.5342	46.4658	
001.354	54.4958	45.5042	
001.414	55.4305	44.5695	
001.478	56.3410	43.6590	
001.538	57.1768	42.8232	
001.606	57.9562	42.0438	
001.662	58.7003	41.2997	
001.726	59.3267	40.6733	
001.790	59.9083	40.0917	
001.854	60.4252	39.5748	
001.914	60.2160	39.7840	
001.978	60.2160	39.7840	
002.038	60.2160	39.7840	
002.106	60.2160	39.7840	
002.162	60.2160	39.7840	
002.226	60.2160	39.7840	
002.290	60.2160	39.7840	
002.354	60.2160	39.7840	
002.414	60.2160	39.7840	
002.478	59.3790	40.6210	
002.538	58.5092	41.4908	
002.606	57.6423	42.3577	
002.662	56.6849	43.3151	
002.726	55.7224	44.2776	
002.790	54.7778	45.2222	
002.854	53.8845	46.1155	
002.914	53.1930	46.8070	
002.978	52.7549	47.2451	
003.038	52.7549	47.2451	
003.106	52.8889	47.1111	
003.162	53.1037	46.8963	
003.226	53.2496	46.7504	
003.290	53.2496	46.7504	
003.354	53.2496	46.7504	
003.414	53.2496	46.7504	
003.478	53.2496	46.7504	
003.538	53.3431	46.6569	
003.606	53.4285	46.5715	
003.662	53.7297	46.2703	
003.726	54.0927	45.9073	
003.790	54.2983	45.7017	
003.854	54.4395	45.5605	
003.914	54.4395	45.5605	
003.978	54.4395	45.5605	
004.042	53.6534	46.3466	
004.106	52.6673	47.3327	
004.163	51.6207	48.3793	
004.228	50.6128	49.3872	
004.290	49.6510	50.3490	
004.354	48.9274	51.0726	
004.414	48.5071	51.4929	
004.478	48.0715	51.9285	
004.543	47.7436	52.2564	
004.606	47.5340	52.4660	
004.662	47.1500	52.8500	
004.726	46.8040	53.1960	
