time 	 RH 	 LH 
7691	 7691	 7691 
000.065	48.7821	51.2178	
000.120	47.5578	52.4422	
000.182	46.4309	53.5691	
000.245	45.4392	54.5608	
000.317	44.4607	55.5393	
000.365	43.6998	56.3002	
000.435	43.0931	56.9069	
000.493	42.4377	57.5623	
000.557	41.7807	58.2193	
000.617	41.1311	58.8689	
000.681	40.4498	59.5502	
000.745	39.8079	60.1921	
7692	 7692	 7692 
7701	 7701	 7701 
000.012	48.8607	51.1393	
000.075	47.8515	52.1485	
000.131	46.9468	53.0532	
000.199	46.1848	53.8152	
000.259	45.5979	54.4021	
000.323	45.0989	54.9011	
000.383	44.7674	55.2326	
000.447	44.6259	55.3741	
000.512	44.3587	55.6413	
000.575	43.9903	56.0097	
000.632	43.6412	56.3588	
000.701	43.2708	56.7292	
000.760	42.9984	57.0016	
000.823	42.5732	57.4268	
000.883	42.4359	57.5641	
000.947	42.3426	57.6574	
001.011	42.3528	57.6472	
001.075	42.4603	57.5397	
001.131	42.5704	57.4296	
001.200	42.5779	57.4221	
001.259	42.5610	57.4390	
001.323	42.5127	57.4873	
001.383	42.4634	57.5366	
001.447	42.3946	57.6054	
001.520	42.4698	57.5302	
001.575	42.5912	57.4088	
001.632	42.5912	57.4088	
001.699	42.5912	57.4088	
001.759	42.5912	57.4088	
001.823	42.5912	57.4088	
001.883	42.5912	57.4088	
001.947	42.5912	57.4088	
002.011	42.5912	57.4088	
002.075	42.6881	57.3119	
002.135	42.7004	57.2996	
002.199	42.7247	57.2753	
002.259	42.7247	57.2753	
002.323	42.7247	57.2753	
002.383	42.7167	57.2833	
002.448	42.5941	57.4059	
002.511	42.4620	57.5380	
002.575	42.4620	57.5380	
002.636	43.1914	56.8086	
002.699	43.1914	56.8086	
002.759	43.8210	56.1790	
002.823	43.8210	56.1790	
002.883	44.3800	55.6200	
002.947	44.3800	55.6200	
003.011	44.9589	55.0411	
003.075	45.7477	54.2523	
003.135	46.6144	53.3856	
003.201	47.4943	52.5057	
003.259	48.2771	51.7229	
003.323	48.9732	51.0268	
003.383	49.6577	50.3423	
003.447	50.3254	49.6746	
003.511	51.0123	48.9877	
003.575	51.0123	48.9877	
003.636	51.0123	48.9877	
003.699	51.0123	48.9877	
003.759	51.0123	48.9877	
003.823	51.0123	48.9877	
003.883	51.0123	48.9877	
003.947	51.0123	48.9877	
004.011	50.6267	49.3733	
004.075	50.1186	49.8814	
004.135	49.5092	50.4908	
004.199	48.7871	51.2129	
004.259	47.9526	52.0474	
004.323	47.1150	52.8850	
004.383	46.3451	53.6549	
004.447	45.7528	54.2472	
004.511	45.0642	54.9358	
004.575	44.3913	55.6087	
004.636	43.5972	56.4029	
004.699	42.8068	57.1932	
004.759	41.9855	58.0145	
004.823	41.0038	58.9962	
004.883	39.9526	60.0474	
7703	 7703	 7703 
7701	 7701	 7701 
000.011	50.4149	49.5851	
000.075	50.7048	49.2952	
000.136	50.9901	49.0099	
000.200	51.3306	48.6694	
000.264	51.6761	48.3239	
000.328	52.0990	47.9010	
000.388	52.3893	47.6107	
000.452	52.5317	47.4683	
000.512	52.5317	47.4683	
000.576	52.5317	47.4683	
000.636	52.5317	47.4683	
000.700	52.5317	47.4683	
000.764	53.1294	46.8706	
000.828	53.7401	46.2599	
000.888	54.2938	45.7062	
000.952	54.7781	45.2219	
001.012	55.0590	44.9410	
001.076	55.3431	44.6569	
001.136	55.4700	44.5300	
001.200	55.5323	44.4677	
001.264	55.5934	44.4066	
001.328	55.7690	44.2310	
001.388	55.9595	44.0405	
001.452	56.3226	43.6774	
001.512	56.6536	43.3464	
001.576	57.0479	42.9521	
001.636	57.4801	42.5199	
001.700	57.6981	42.3019	
001.764	57.6981	42.3019	
001.828	56.7826	43.2174	
001.888	55.9893	44.0107	
001.952	55.3754	44.6246	
002.012	54.7744	45.2256	
002.076	54.7744	45.2256	
002.136	54.7744	45.2256	
