time 	 RH 	 LH 
7691	 7691	 7691 
000.013	50.0000	50.0000	
000.072	50.0000	50.0000	
000.133	50.0000	50.0000	
000.198	50.0000	50.0000	
000.259	49.4815	50.5185	
000.320	48.7348	51.2652	
000.381	47.9900	52.0100	
000.445	47.2721	52.7279	
000.506	46.7080	53.2920	
000.569	46.3395	53.6605	
000.629	46.2003	53.7997	
000.697	46.2003	53.7997	
000.753	46.2003	53.7997	
000.817	46.2003	53.7997	
000.880	46.2003	53.7997	
000.945	46.2003	53.7997	
001.004	46.2003	53.7997	
001.068	46.2003	53.7997	
001.128	46.2003	53.7997	
001.196	46.2003	53.7997	
001.252	46.2003	53.7997	
001.317	46.2003	53.7997	
001.381	46.2003	53.7997	
001.445	46.2003	53.7997	
001.505	46.2003	53.7997	
001.568	46.2003	53.7997	
001.629	46.1203	53.8797	
001.697	45.9329	54.0671	
001.753	45.8356	54.1644	
001.817	45.8356	54.1644	
001.881	45.8356	54.1644	
001.945	45.8356	54.1644	
002.005	45.8356	54.1644	
002.069	45.8356	54.1644	
002.129	45.8356	54.1644	
002.197	46.3218	53.6782	
002.253	46.8422	53.1578	
002.325	47.4614	52.5386	
002.381	48.0282	51.9718	
002.445	48.5518	51.4482	
002.506	48.9407	51.0593	
002.568	49.2585	50.7415	
002.629	49.2585	50.7415	
002.696	49.2585	50.7415	
002.753	49.2585	50.7415	
002.817	49.2585	50.7415	
002.881	48.9142	51.0858	
002.944	49.2197	50.7803	
003.005	49.9786	50.0214	
003.069	50.6877	49.3123	
003.128	51.2081	48.7919	
003.197	51.6948	48.3052	
003.252	52.1901	47.8098	
003.317	52.5781	47.4219	
003.380	52.8922	47.1078	
003.444	53.2265	46.7735	
003.506	53.6083	46.3917	
003.569	53.9987	46.0013	
003.629	54.3037	45.6963	
003.697	54.6337	45.3663	
003.753	55.0525	44.9475	
003.817	55.5120	44.4880	
003.881	55.8927	44.1073	
003.944	55.8927	44.1073	
004.004	55.0259	44.9741	
004.069	54.2949	45.7051	
004.128	54.2949	45.7051	
004.197	54.2949	45.7051	
004.253	54.2949	45.7051	
004.317	54.2949	45.7051	
004.381	54.2949	45.7051	
004.445	54.2949	45.7051	
004.505	54.2949	45.7051	
004.569	54.2949	45.7051	
004.629	54.2949	45.7051	
004.697	53.8075	46.1925	
004.753	54.1403	45.8597	
004.817	54.7367	45.2633	
004.881	55.4664	44.5336	
004.945	56.1749	43.8251	
005.005	56.9778	43.0222	
005.069	57.7770	42.2230	
005.129	58.3860	41.6140	
005.197	58.9186	41.0814	
005.253	59.3680	40.6320	
005.317	59.7892	40.2108	
005.381	60.1120	39.8880	
005.445	60.3394	39.6606	
005.506	60.5269	39.4731	
005.569	60.8414	39.1586	
005.629	61.1669	38.8331	
005.697	61.4272	38.5728	
005.753	61.4272	38.5728	
005.817	60.5819	39.4181	
005.881	59.5732	40.4268	
005.945	58.5961	41.4039	
006.005	57.6400	42.3600	
006.069	56.5376	43.4624	
006.129	55.4663	44.5337	
006.197	54.4787	45.5213	
006.253	53.6170	46.3830	
006.317	52.7887	47.2113	
006.381	52.1192	47.8808	
006.445	51.7101	48.2899	
006.506	51.2924	48.7076	
006.569	50.8281	49.1719	
006.629	50.5282	49.4718	
006.697	50.5282	49.4718	
006.753	50.5282	49.4718	
006.817	50.5282	49.4718	
006.881	50.5282	49.4718	
006.945	50.5282	49.4718	
007.005	50.5282	49.4718	
7692	 7692	 7692 
7691	 7691	 7691 
000.057	51.6742	48.3258	
000.120	53.2797	46.7203	
000.184	54.7960	45.2040	
000.248	56.2329	43.7671	
000.309	57.5818	42.4182	
000.372	58.5591	41.4409	
000.436	58.9296	41.0704	
000.500	58.8019	41.1981	
000.556	58.7391	41.2609	
000.621	58.8093	41.1907	
000.684	58.9501	41.0499	
000.748	58.9823	41.0177	
000.809	59.0599	40.9401	
000.872	59.0783	40.9217	
000.936	59.1070	40.8930	
001.000	59.0881	40.9119	
001.056	59.1546	40.8454	
001.120	59.3378	40.6622	
001.185	59.7886	40.2114	
001.249	60.3131	39.6869	
001.310	60.6450	39.3550	
001.374	60.9165	39.0835	
001.437	61.0313	38.9687	
001.500	61.0628	38.9372	
001.556	60.9321	39.0679	
001.620	60.6917	39.3083	
001.685	60.4506	39.5494	
001.749	60.3731	39.6269	
001.808	60.3196	39.6804	
001.872	60.1965	39.8035	
001.936	60.0911	39.9089	
002.001	60.0300	39.9700	
002.057	59.9848	40.0152	
002.120	59.8690	40.1310	
002.184	59.8690	40.1310	
002.248	59.8690	40.1310	
002.309	59.8690	40.1310	
002.372	59.8690	40.1310	
002.436	59.7224	40.2776	
002.500	59.6507	40.3493	
002.557	59.5142	40.4858	
002.620	59.3868	40.6132	
002.685	59.3659	40.6341	
002.748	59.2124	40.7876	
002.808	59.2124	40.7876	
002.872	59.0031	40.9969	
002.936	58.9918	41.0081	
003.000	59.4259	40.5741	
003.056	59.7553	40.2447	
003.120	60.0978	39.9022	
003.185	60.5046	39.4954	
003.249	60.8844	39.1156	
003.309	61.2556	38.7444	
003.373	61.6011	38.3989	
003.436	61.9484	38.0516	
003.500	62.2681	37.7319	
003.556	62.5526	37.4474	
003.620	62.7790	37.2210	
003.685	62.9362	37.0638	
003.748	63.0849	36.9151	
003.808	63.2078	36.7922	
003.872	63.3469	36.6531	
003.936	63.2088	36.7912	
004.000	63.2088	36.7912	
004.056	62.8418	37.1582	
004.120	62.8418	37.1582	
004.184	62.8418	37.1582	
004.248	62.8418	37.1582	
004.310	62.8418	37.1582	
004.372	61.8822	38.1178	
004.436	60.8850	39.1150	
004.500	60.8850	39.1150	
004.556	60.9538	39.0462	
004.620	61.0754	38.9246	
004.684	61.2615	38.7385	
004.748	61.7162	38.2838	
004.809	62.2690	37.7310	
004.872	62.7704	37.2296	
004.936	63.2168	36.7832	
005.000	63.5711	36.4289	
005.056	63.8252	36.1748	
005.120	64.0729	35.9271	
005.185	64.2579	35.7421	
005.248	64.4248	35.5752	
005.309	64.5687	35.4313	
005.372	64.7635	35.2365	
005.436	64.9803	35.0197	
005.500	64.8448	35.1552	
005.556	64.8448	35.1552	
005.621	64.8448	35.1552	
005.684	64.8448	35.1552	
005.748	63.6387	36.3613	
005.808	62.1782	37.8218	
005.872	60.8166	39.1834	
005.936	59.5489	40.4511	
006.000	58.3142	41.6858	
006.056	57.1999	42.8001	
006.121	56.1600	43.8400	
006.184	55.1893	44.8107	
006.249	54.3141	45.6859	
006.310	53.6184	46.3816	
006.372	52.9107	47.0893	
006.437	52.3174	47.6826	
006.500	51.9203	48.0797	
006.556	51.9203	48.0797	
006.620	51.9203	48.0797	
006.684	51.9203	48.0797	
006.748	52.1918	47.8082	
006.808	52.4597	47.5403	
006.872	52.7947	47.2053	
006.937	53.3960	46.6040	
007.000	54.3206	45.6794	
7692	 7692	 7692 
7701	 7701	 7701 
000.008	50.0000	50.0000	
000.069	50.0000	50.0000	
000.133	50.0000	50.0000	
000.197	50.0000	50.0000	
000.261	50.0000	50.0000	
000.317	50.0000	50.0000	
000.385	50.0000	50.0000	
000.445	50.0000	50.0000	
000.509	50.0000	50.0000	
000.569	50.0000	50.0000	
000.633	50.0000	50.0000	
000.697	50.0000	50.0000	
000.761	50.0000	50.0000	
000.817	50.0000	50.0000	
000.885	50.0000	50.0000	
000.945	50.0000	50.0000	
001.009	50.0000	50.0000	
001.069	50.0000	50.0000	
001.133	50.0000	50.0000	
001.197	50.0000	50.0000	
001.261	50.0000	50.0000	
001.317	50.0000	50.0000	
001.385	50.0000	50.0000	
001.445	50.0000	50.0000	
001.509	50.0000	50.0000	
001.569	50.0000	50.0000	
001.633	50.0000	50.0000	
001.697	50.0000	50.0000	
001.761	50.0000	50.0000	
001.817	50.0000	50.0000	
001.885	50.0000	50.0000	
001.945	50.0000	50.0000	
002.009	50.0000	50.0000	
002.069	49.7020	50.2980	
002.133	49.7020	50.2980	
002.197	49.4126	50.5874	
002.261	49.8255	50.1745	
002.317	50.2271	49.7729	
002.385	50.2271	49.7729	
002.445	50.2271	49.7729	
002.509	50.2271	49.7729	
002.570	50.5136	49.4864	
002.633	50.8281	49.1719	
002.697	50.8281	49.1719	
002.761	50.8281	49.1719	
002.817	51.0628	48.9372	
002.885	51.0628	48.9372	
002.945	51.3457	48.6543	
003.009	51.7111	48.2889	
003.069	52.1454	47.8546	
003.133	52.4689	47.5311	
003.197	52.7750	47.2250	
003.261	52.3544	47.6456	
003.317	52.5457	47.4543	
003.385	53.2077	46.7923	
003.445	53.9966	46.0034	
003.509	54.7139	45.2861	
003.570	55.3596	44.6404	
003.633	55.9482	44.0518	
003.697	56.5338	43.4662	
003.761	57.0925	42.9075	
003.817	57.5416	42.4584	
003.885	57.9478	42.0522	
003.945	58.2421	41.7579	
004.009	58.4797	41.5203	
004.069	58.6699	41.3301	
004.133	58.8696	41.1304	
004.197	59.0717	40.9283	
004.261	59.2018	40.7982	
004.317	59.2018	40.7982	
004.385	58.4815	41.5185	
004.445	57.7332	42.2668	
004.509	56.9532	43.0468	
004.569	56.1495	43.8505	
004.633	55.5419	44.4581	
004.697	55.5419	44.4581	
004.761	55.5419	44.4581	
004.817	55.5512	44.4488	
004.885	55.5282	44.4718	
004.945	55.5290	44.4710	
005.009	55.5290	44.4710	
005.069	55.5290	44.4710	
005.133	55.5290	44.4710	
005.197	55.5290	44.4710	
005.261	55.5290	44.4710	
005.317	55.5290	44.4710	
005.385	55.5290	44.4710	
005.445	55.5290	44.4710	
005.509	55.5290	44.4710	
005.569	55.7119	44.2881	
005.633	56.4136	43.5864	
005.697	57.1872	42.8128	
005.762	57.8653	42.1347	
005.817	58.4089	41.5911	
005.885	58.9036	41.0964	
005.945	59.3687	40.6313	
006.009	59.7904	40.2096	
006.069	60.2589	39.7411	
006.133	60.9802	39.0198	
006.197	62.0130	37.9870	
006.261	63.0436	36.9564	
006.317	63.9892	36.0108	
006.385	64.9177	35.0823	
006.445	65.8019	34.1981	
006.509	66.6005	33.3995	
006.569	67.1656	32.8344	
006.633	67.3101	32.6899	
006.697	67.1364	32.8636	
006.761	66.9170	33.0830	
006.817	66.7265	33.2735	
006.886	66.5778	33.4222	
006.945	66.3970	33.6030	
007.009	66.1910	33.8090	
7702	 7702	 7702 
7701	 7701	 7701 
000.049	49.4364	50.5636	
000.109	48.9657	51.0343	
000.173	48.7348	51.2652	
000.233	48.4494	51.5506	
000.297	48.0779	51.9221	
000.357	47.6026	52.3974	
000.421	47.2761	52.7239	
000.486	46.9997	53.0003	
000.549	46.7435	53.2565	
000.609	46.4666	53.5334	
000.673	46.2545	53.7455	
000.733	46.1172	53.8828	
000.796	46.1172	53.8828	
000.857	45.9105	54.0895	
000.921	45.7199	54.2801	
000.985	45.6541	54.3459	
001.049	45.6541	54.3459	
001.109	45.5355	54.4645	
001.173	45.3096	54.6904	
001.233	45.2348	54.7652	
001.297	45.1779	54.8221	
001.357	45.1779	54.8221	
001.421	45.0015	54.9985	
001.485	44.7849	55.2151	
001.549	44.5236	55.4764	
001.609	44.2311	55.7689	
001.673	43.8997	56.1003	
001.733	43.4502	56.5498	
001.797	42.8315	57.1685	
001.858	42.2962	57.7038	
001.921	41.8578	58.1422	
001.985	41.2715	58.7285	
002.049	40.6137	59.3863	
002.109	40.0294	59.9706	
002.173	39.4919	60.5081	
002.233	38.8040	61.1960	
002.297	38.1697	61.8303	
002.357	37.5233	62.4767	
002.421	36.8910	63.1090	
002.485	36.4126	63.5874	
002.549	35.9601	64.0399	
002.609	35.5743	64.4257	
002.673	35.1340	64.8660	
002.733	34.8087	65.1913	
002.797	34.5755	65.4245	
002.857	34.3996	65.6004	
002.921	34.2533	65.7467	
002.985	34.1784	65.8216	
003.049	34.1632	65.8368	
003.109	34.1683	65.8317	
003.173	34.1255	65.8745	
003.233	34.1456	65.8544	
003.297	34.1668	65.8332	
003.357	34.2087	65.7912	
